tag,country,X,mkt,good,a,produced,bld_demand,pop_demand,demand,ratio,b,shortage,potential,prestige,identity_crop,distinctive_ind,staple_food,generic_mfg,eco_starter,excl_champ,company
CHI,China,10,yes,tea,194,3880.0,0.0,0.0,0.0,,0,0,0,1,1,0,0,0,0,0,1
CHI,China,10,yes,grain,108,3420.0,0.0,7973.0,7973.0,0.43,23,1,0,0,0,0,1,0,1,0,0
CHI,China,10,yes,wood,50,3280.0,5770.0,6137.3,11907.3,0.28,43,1,0,0,0,0,0,0,1,0,0
CHI,China,10,yes,paper,58,2320.0,2030.0,0.0,2030.0,1.14,0,0,0,0,0,0,0,1,0,0,0
CHI,China,10,yes,fruit,20,2179.0,0.0,0.0,0.0,,0,0,0,0,1,0,0,0,0,0,0
CHI,China,10,yes,furniture,40,1800.0,0.0,10503.6,10503.6,0.17,40,1,0,0,0,0,0,1,0,0,0
CHI,China,10,yes,glass,50,1500.0,0.0,0.0,0.0,,0,0,0,0,0,0,0,1,0,0,0
CHI,China,10,yes,dye,46,1380.0,250.0,0.0,250.0,5.52,0,0,0,0,1,0,0,0,0,0,0
CHI,China,10,yes,silk,86,1290.0,240.0,0.0,240.0,5.38,0,0,0,1,1,0,0,0,0,0,1
CHI,China,10,yes,luxury_furniture,0,1000.0,0.0,0.0,0.0,,0,0,0,0,0,0,0,0,0,0,0
CHI,China,10,yes,clothes,16,720.0,0.0,10503.6,10503.6,0.07,16,1,0,0,0,0,0,1,0,0,0
CHI,China,10,yes,fish,27,675.0,0.0,9380.0,9380.0,0.07,27,1,0,0,0,0,1,0,1,0,0
CHI,China,10,yes,porcelain,0,500.0,0.0,0.0,0.0,,0,0,0,1,0,0,0,0,0,0,1
CHI,China,10,yes,luxury_clothes,0,480.0,0.0,0.0,0.0,,0,0,0,0,0,0,0,0,0,0,0
CHI,China,10,yes,opium,21,420.0,0.0,0.0,0.0,,0,0,0,0,1,0,0,0,0,0,0
CHI,China,10,yes,meat,31,310.0,0.0,0.0,0.0,,0,0,0,0,0,0,1,0,0,0,0
CHI,China,10,yes,tools,4,240.0,280.0,0.0,280.0,0.86,0,0,0,0,0,1,0,0,1,0,0
