tag,country,wood_produced,wood_consumed,wood_net,wood_pct_unmet,tools_produced,tools_consumed,tools_net,tools_pct_unmet,iron_produced,iron_consumed,iron_net,iron_pct_unmet,hardwood_produced,hardwood_consumed,hardwood_net,hardwood_pct_unmet,clippers_produced,clippers_consumed,clippers_net,clippers_pct_unmet,silk_produced,silk_consumed,silk_net,silk_pct_unmet,dye_produced,dye_consumed,dye_net,dye_pct_unmet,coal_produced,coal_consumed,coal_net,coal_pct_unmet,steel_produced,steel_consumed,steel_net,steel_pct_unmet,sulfur_produced,sulfur_consumed,sulfur_net,sulfur_pct_unmet,lead_produced,lead_consumed,lead_net,lead_pct_unmet,fertilizer_produced,fertilizer_consumed,fertilizer_net,fertilizer_pct_unmet,explosives_produced,explosives_consumed,explosives_net,explosives_pct_unmet,engines_produced,engines_consumed,engines_net,engines_pct_unmet,glass_produced,glass_consumed,glass_net,glass_pct_unmet,oil_produced,oil_consumed,oil_net,oil_pct_unmet
CHI,China,2970.0,5130.0,-2160.0,42.1,240.0,280.0,-40.0,14.3,140.0,145.0,-5.0,3.4,310.0,640.0,-330.0,51.6,120.0,114.0,6.0,-5.3,1290.0,240.0,1050.0,-437.5,1380.0,250.0,1130.0,-452.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1500.0,0.0,1500.0,0.0,0.0,0.0,0.0,0.0
BIC,East India,630.0,725.0,-95.0,13.1,0.0,50.0,-50.0,100.0,100.0,125.0,-25.0,20.0,210.0,165.0,45.0,-27.3,200.0,134.0,66.0,-49.3,300.0,405.0,-105.0,25.9,1290.0,15.0,1275.0,-8500.0,50.0,0.0,50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,90.0,0.0,90.0,0.0,0.0,0.0,0.0,0.0
RUS,Russia,6900.0,1880.0,5020.0,-267.0,690.0,650.0,40.0,-6.2,400.0,380.0,20.0,-5.3,890.0,270.0,620.0,-229.6,320.0,54.0,266.0,-492.6,0.0,90.0,-90.0,100.0,0.0,15.0,-15.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,90.0,0.0,90.0,0.0,0.0,0.0,0.0,0.0
FRA,France,1920.0,2256.0,-336.0,14.9,640.0,697.0,-57.0,8.2,200.0,585.0,-385.0,65.8,320.0,195.0,125.0,-64.1,400.0,141.0,259.0,-183.7,270.0,225.0,45.0,-20.0,30.0,175.0,-145.0,82.9,520.0,174.0,346.0,-198.9,130.0,160.0,-30.0,18.8,160.0,230.0,-70.0,30.4,120.0,120.0,0.0,0.0,57.5,140.0,-82.5,58.9,50.0,60.0,-10.0,16.7,0.0,10.0,-10.0,100.0,240.0,0.0,240.0,0.0,0.0,0.0,0.0,0.0
JAP,Japan,540.0,610.0,-70.0,11.5,30.0,35.0,-5.0,14.3,0.0,0.0,0.0,0.0,50.0,60.0,-10.0,16.7,40.0,29.0,11.0,-37.9,60.0,60.0,0.0,0.0,120.0,20.0,100.0,-500.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40.0,0.0,40.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,120.0,0.0,120.0,0.0,20.0,0.0,20.0,0.0
GBR,Great Britain,600.0,3264.0,-2664.0,81.6,1680.0,1325.0,355.0,-26.8,480.0,945.0,-465.0,49.2,100.0,615.0,-515.0,83.7,680.0,286.0,394.0,-137.8,0.0,195.0,-195.0,100.0,0.0,320.0,-320.0,100.0,2360.0,406.0,1954.0,-481.3,520.0,510.0,10.0,-2.0,0.0,180.0,-180.0,100.0,100.0,110.0,-10.0,9.1,247.5,370.0,-122.5,33.1,50.0,40.0,10.0,-25.0,120.0,65.0,55.0,-84.6,280.0,0.0,280.0,0.0,40.0,0.0,40.0,0.0
AUS,Austria,600.0,1415.0,-815.0,57.6,300.0,230.0,70.0,-30.4,140.0,200.0,-60.0,30.0,100.0,165.0,-65.0,39.4,80.0,54.0,26.0,-48.1,75.0,120.0,-45.0,37.5,0.0,25.0,-25.0,100.0,160.0,80.0,80.0,-100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,80.0,30.0,50.0,-166.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,270.0,0.0,270.0,0.0,0.0,0.0,0.0,0.0
TUR,Ottomans,1140.0,880.0,260.0,-29.5,120.0,125.0,-5.0,4.0,120.0,85.0,35.0,-41.2,120.0,90.0,30.0,-33.3,160.0,78.0,82.0,-105.1,60.0,45.0,15.0,-33.3,0.0,20.0,-20.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,120.0,0.0,120.0,0.0,0.0,0.0,0.0,0.0
KOR,Korea,0.0,325.0,-325.0,100.0,0.0,5.0,-5.0,100.0,20.0,0.0,20.0,0.0,0.0,0.0,0.0,0.0,40.0,36.0,4.0,-11.1,0.0,0.0,0.0,0.0,0.0,35.0,-35.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,210.0,0.0,210.0,0.0,0.0,0.0,0.0,0.0
USA,United States,1260.0,1210.0,50.0,-4.1,560.0,535.0,25.0,-4.7,400.0,475.0,-75.0,15.8,210.0,155.0,55.0,-35.5,240.0,195.0,45.0,-23.1,0.0,0.0,0.0,0.0,60.0,70.0,-10.0,14.3,560.0,200.0,360.0,-180.0,130.0,170.0,-40.0,23.5,160.0,130.0,30.0,-23.1,60.0,70.0,-10.0,14.3,227.5,365.0,-137.5,37.7,50.0,20.0,30.0,-150.0,40.0,0.0,40.0,0.0,200.0,0.0,200.0,0.0,20.0,0.0,20.0,0.0
