tag,country,pop,grain_produced,grain_pop_need,grain_net,fish_produced,fish_pop_need,fish_net,groceries_produced,groceries_pop_need,groceries_net,fabric_produced,fabric_pop_need,fabric_net,clothes_produced,clothes_pop_need,clothes_net,wood_produced,wood_pop_need,wood_net,furniture_produced,furniture_pop_need,furniture_net,paper_produced,paper_pop_need,paper_net
CHI,China,366405602,3420.0,7973.0,-4553.0,675.0,9380.0,-8705.0,0.0,10787.0,-10787.0,155.0,5547.0,-5392.0,720.0,10503.6,-9783.6,2970.0,6137.3,-3167.3,1800.0,10503.6,-8703.6,2320.0,0.0,2320.0
BIC,East India,110522582,0.0,2405.0,-2405.0,525.0,2829.4,-2304.4,0.0,3253.8,-3253.8,720.0,1673.2,-953.2,1350.0,3168.3,-1818.3,630.0,1851.3,-1221.3,155.0,3168.3,-3013.3,160.0,0.0,160.0
RUS,Russia,55942216,3595.0,1217.3,2377.7,150.0,1432.1,-1282.1,540.0,1646.9,-1106.9,190.0,846.9,-656.9,585.0,1603.7,-1018.7,6900.0,937.0,5963.0,585.0,1603.7,-1018.7,560.0,0.0,560.0
FRA,France,34586675,2140.0,752.6,1387.4,775.0,885.4,-110.4,585.0,1018.2,-433.2,360.0,523.6,-163.6,1740.0,991.5,748.5,1920.0,579.3,1340.7,1235.0,991.5,243.5,1470.0,0.0,1470.0
JAP,Japan,32545935,890.0,708.2,181.8,250.0,833.2,-583.2,225.0,958.2,-733.2,280.0,492.7,-212.7,180.0,933.0,-753.0,540.0,545.1,-5.1,180.0,933.0,-753.0,200.0,0.0,200.0
GBR,Great Britain,25951647,2100.0,564.7,1535.3,925.0,664.4,260.6,780.0,764.0,16.0,405.0,392.9,12.1,3420.0,743.9,2676.1,600.0,434.7,165.3,2275.0,743.9,1531.1,700.0,0.0,700.0
AUS,Austria,20748330,700.0,451.5,248.5,275.0,531.2,-256.2,360.0,610.8,-250.8,60.0,314.1,-254.1,720.0,594.8,125.2,600.0,347.5,252.5,325.0,594.8,-269.8,400.0,0.0,400.0
TUR,Ottomans,19196112,685.0,417.7,267.3,625.0,491.4,133.6,45.0,565.1,-520.1,380.0,290.6,89.4,450.0,550.3,-100.3,1140.0,321.5,818.5,315.0,550.3,-235.3,240.0,0.0,240.0
KOR,Korea,16202232,280.0,352.6,-72.6,300.0,414.8,-114.8,0.0,477.0,-477.0,15.0,245.3,-230.3,0.0,464.5,-464.5,0.0,271.4,-271.4,0.0,464.5,-464.5,0.0,0.0,0.0
USA,United States,15681769,2070.0,341.2,1728.8,700.0,401.5,298.5,375.0,461.7,-86.7,2760.0,237.4,2522.6,600.0,449.5,150.5,1260.0,262.7,997.3,585.0,449.5,135.5,350.0,0.0,350.0
PRU,Prussia,14062517,990.0,306.0,684.0,100.0,360.0,-260.0,325.0,414.0,-89.0,150.0,212.9,-62.9,780.0,403.1,376.9,840.0,235.5,604.5,520.0,403.1,116.9,280.0,0.0,280.0
SPA,Spain,11905901,565.0,259.1,305.9,250.0,304.8,-54.8,130.0,350.5,-220.5,120.0,180.2,-60.2,180.0,341.3,-161.3,960.0,199.4,760.6,90.0,341.3,-251.3,320.0,0.0,320.0
HYD,Hyderabad,10855454,0.0,236.2,-236.2,0.0,277.9,-277.9,0.0,319.6,-319.6,90.0,164.3,-74.3,0.0,311.2,-311.2,0.0,181.8,-181.8,0.0,311.2,-311.2,40.0,0.0,40.0
DEI,Dutch East Indies,9512372,1120.0,207.0,913.0,0.0,243.5,-243.5,0.0,280.0,-280.0,90.0,144.0,-54.0,0.0,272.7,-272.7,210.0,159.3,50.7,0.0,272.7,-272.7,0.0,0.0,0.0
HUN,Hungary,9419768,260.0,205.0,55.0,0.0,241.1,-241.1,180.0,277.3,-97.3,75.0,142.6,-67.6,0.0,270.0,-270.0,90.0,157.8,-67.8,130.0,270.0,-140.0,0.0,0.0,0.0
EGY,Egypt,8925808,400.0,194.2,205.8,475.0,228.5,246.5,0.0,262.8,-262.8,580.0,135.1,444.9,180.0,255.9,-75.9,120.0,149.5,-29.5,0.0,255.9,-255.9,120.0,0.0,120.0
PAN,Punjab,8105904,100.0,176.4,-76.4,0.0,207.5,-207.5,0.0,238.6,-238.6,25.0,122.7,-97.7,135.0,232.4,-97.4,120.0,135.8,-15.8,90.0,232.4,-142.4,0.0,0.0,0.0
SIC,Two Sicilies,7032680,540.0,153.0,387.0,275.0,180.0,95.0,45.0,207.0,-162.0,70.0,106.5,-36.5,135.0,201.6,-66.6,300.0,117.8,182.2,45.0,201.6,-156.6,40.0,0.0,40.0
MEX,Mexico,6950447,160.0,151.2,8.8,125.0,177.9,-52.9,65.0,204.6,-139.6,20.0,105.2,-85.2,135.0,199.2,-64.2,240.0,116.4,123.6,90.0,199.2,-109.2,0.0,0.0,0.0
PER,Persia,6618409,390.0,144.0,246.0,25.0,169.4,-144.4,0.0,194.8,-194.8,105.0,100.2,4.8,135.0,189.7,-54.7,90.0,110.9,-20.9,90.0,189.7,-99.7,0.0,0.0,0.0
DAI,Dai Nam,6570909,70.0,143.0,-73.0,50.0,168.2,-118.2,0.0,193.4,-193.4,15.0,99.5,-84.5,0.0,188.4,-188.4,0.0,110.1,-110.1,0.0,188.4,-188.4,0.0,0.0,0.0
POR,Portugal,6120718,385.0,133.2,251.8,250.0,156.7,93.3,0.0,180.2,-180.2,120.0,92.7,27.3,90.0,175.5,-85.5,180.0,102.5,77.5,0.0,175.5,-175.5,40.0,0.0,40.0
SOK,Sokoto,5428321,140.0,118.1,21.9,0.0,139.0,-139.0,0.0,159.8,-159.8,75.0,82.2,-7.2,45.0,155.6,-110.6,0.0,90.9,-90.9,0.0,155.6,-155.6,0.0,0.0,0.0
NEP,Nepal,4242426,0.0,92.3,-92.3,0.0,108.6,-108.6,0.0,124.9,-124.9,0.0,64.2,-64.2,0.0,121.6,-121.6,0.0,71.1,-71.1,0.0,121.6,-121.6,0.0,0.0,0.0
BAV,Bavaria,4175788,570.0,90.9,479.1,0.0,106.9,-106.9,135.0,122.9,12.1,20.0,63.2,-43.2,45.0,119.7,-74.7,360.0,69.9,290.1,195.0,119.7,75.3,0.0,0.0,0.0
BEL,Belgium,4147468,390.0,90.2,299.8,50.0,106.2,-56.2,130.0,122.1,7.9,75.0,62.8,12.2,240.0,118.9,121.1,420.0,69.5,350.5,195.0,118.9,76.1,70.0,0.0,70.0
BRZ,Brazil,4040571,730.0,87.9,642.1,150.0,103.4,46.6,0.0,119.0,-119.0,285.0,61.2,223.8,180.0,115.8,64.2,1080.0,67.7,1012.3,45.0,115.8,-70.8,160.0,0.0,160.0
SIA,Siam,3866645,105.0,84.1,20.9,50.0,99.0,-49.0,0.0,113.8,-113.8,5.0,58.5,-53.5,0.0,110.8,-110.8,0.0,64.8,-64.8,0.0,110.8,-110.8,0.0,0.0,0.0
SAR,Sardinia-Piedmont,3629072,235.0,79.0,156.0,250.0,92.9,157.1,45.0,106.8,-61.8,35.0,54.9,-19.9,90.0,104.0,-14.0,420.0,60.8,359.2,65.0,104.0,-39.0,40.0,0.0,40.0
BUR,Burma,3473474,140.0,75.6,64.4,50.0,88.9,-38.9,0.0,102.3,-102.3,10.0,52.6,-42.6,0.0,99.6,-99.6,0.0,58.2,-58.2,0.0,99.6,-99.6,0.0,0.0,0.0
MOR,Morocco,3244592,0.0,70.6,-70.6,75.0,83.1,-8.1,0.0,95.5,-95.5,30.0,49.1,-19.1,45.0,93.0,-48.0,30.0,54.3,-24.3,0.0,93.0,-93.0,0.0,0.0,0.0
SWE,Sweden,2797184,180.0,60.9,119.1,550.0,71.6,478.4,0.0,82.3,-82.3,30.0,42.3,-12.3,135.0,80.2,54.8,900.0,46.9,853.1,0.0,80.2,-80.2,120.0,0.0,120.0
NET,Netherlands,2772765,140.0,60.3,79.7,250.0,71.0,179.0,130.0,81.6,48.4,70.0,42.0,28.0,240.0,79.5,160.5,60.0,46.4,13.6,90.0,79.5,10.5,200.0,0.0,200.0
PHI,Philippines,2575279,385.0,56.0,329.0,75.0,65.9,9.1,0.0,75.8,-75.8,0.0,39.0,-39.0,0.0,73.8,-73.8,0.0,43.1,-43.1,0.0,73.8,-73.8,0.0,0.0,0.0
CLM,Colombia,1618606,145.0,35.2,109.8,25.0,41.4,-16.4,0.0,47.7,-47.7,95.0,24.5,70.5,45.0,46.4,-1.4,90.0,27.1,62.9,45.0,46.4,-1.4,0.0,0.0,0.0
OMA,Oman,1550241,0.0,33.7,-33.7,225.0,39.7,185.3,0.0,45.6,-45.6,45.0,23.5,21.5,0.0,44.4,-44.4,60.0,26.0,34.0,0.0,44.4,-44.4,0.0,0.0,0.0
GRE,Greece,939992,40.0,20.5,19.5,150.0,24.1,125.9,0.0,27.7,-27.7,90.0,14.2,75.8,0.0,26.9,-26.9,60.0,15.7,44.3,0.0,26.9,-26.9,0.0,0.0,0.0
ARG,Argentina,813812,60.0,17.7,42.3,25.0,20.8,4.2,0.0,24.0,-24.0,20.0,12.3,7.7,45.0,23.3,21.7,120.0,13.6,106.4,45.0,23.3,21.7,0.0,0.0,0.0
SHW,Shewa,676898,40.0,14.7,25.3,0.0,17.3,-17.3,0.0,19.9,-19.9,0.0,10.2,-10.2,0.0,19.4,-19.4,30.0,11.3,18.7,0.0,19.4,-19.4,0.0,0.0,0.0
SAF,South Africa,625500,60.0,13.6,46.4,50.0,16.0,34.0,0.0,18.4,-18.4,10.0,9.5,0.5,0.0,17.9,-17.9,0.0,10.5,-10.5,0.0,17.9,-17.9,0.0,0.0,0.0
