tag,country,n_states,arable_land,plantations,staples,rgo_capped,rgo_discoverable
CHI,China,38,9298,banana_plantation cotton_plantation dye_plantation opium_plantation silk_plantation tea_plantation tobacco_plantation vineyard,livestock_ranch rice_farm wheat_farm,coal_mine:801 fishing_wharf:101 iron_mine:392 lead_mine:125 logging_camp:381 sulfur_mine:376,oil_rig:106
RUS,Russia,49,3736,cotton_plantation silk_plantation tea_plantation tobacco_plantation vineyard,livestock_ranch rice_farm rye_farm wheat_farm,coal_mine:1241 fishing_wharf:94 gold_mine:10 iron_mine:937 lead_mine:235 logging_camp:1064 sulfur_mine:143 whaling_station:5,gold_field:34 oil_rig:523
BIC,East India,18,4764,banana_plantation coffee_plantation cotton_plantation dye_plantation opium_plantation silk_plantation sugar_plantation tea_plantation tobacco_plantation vineyard,livestock_ranch rice_farm wheat_farm,coal_mine:256 fishing_wharf:128 gold_mine:9 iron_mine:198 lead_mine:2 logging_camp:274 sulfur_mine:2,oil_rig:59 rubber_plantation:49
USA,United States,29,3348,cotton_plantation dye_plantation sugar_plantation tobacco_plantation vineyard,livestock_ranch maize_farm rice_farm wheat_farm,coal_mine:748 fishing_wharf:119 iron_mine:423 lead_mine:231 logging_camp:482 sulfur_mine:106 whaling_station:24,oil_rig:220
FRA,France,29,2476,banana_plantation coffee_plantation cotton_plantation dye_plantation silk_plantation sugar_plantation tea_plantation tobacco_plantation vineyard,livestock_ranch millet_farm rice_farm wheat_farm,coal_mine:386 fishing_wharf:153 iron_mine:438 lead_mine:107 logging_camp:249 sulfur_mine:98 whaling_station:10,gold_field:12 oil_rig:75 rubber_plantation:65
GBR,Great Britain,26,1183,banana_plantation coffee_plantation cotton_plantation dye_plantation silk_plantation sugar_plantation tea_plantation tobacco_plantation vineyard,livestock_ranch maize_farm rice_farm rye_farm wheat_farm,coal_mine:532 fishing_wharf:205 iron_mine:334 lead_mine:277 logging_camp:199 sulfur_mine:88 whaling_station:20,gold_field:12 oil_rig:90 rubber_plantation:88
TUR,Ottomans,27,877,banana_plantation cotton_plantation opium_plantation silk_plantation tea_plantation tobacco_plantation vineyard,livestock_ranch millet_farm rice_farm wheat_farm,coal_mine:232 fishing_wharf:136 iron_mine:242 lead_mine:87 logging_camp:198 sulfur_mine:73,oil_rig:160
JAP,Japan,11,845,cotton_plantation dye_plantation opium_plantation silk_plantation sugar_plantation tea_plantation tobacco_plantation vineyard,livestock_ranch rice_farm wheat_farm,coal_mine:129 fishing_wharf:136 gold_mine:7 iron_mine:101 lead_mine:207 logging_camp:115 sulfur_mine:149 whaling_station:24,gold_field:4 oil_rig:12
PRU,Prussia,12,716,vineyard,livestock_ranch rye_farm wheat_farm,coal_mine:438 fishing_wharf:30 iron_mine:150 lead_mine:84 logging_camp:131 sulfur_mine:112,
SPA,Spain,15,625,banana_plantation coffee_plantation cotton_plantation dye_plantation silk_plantation sugar_plantation tobacco_plantation vineyard,livestock_ranch maize_farm rice_farm wheat_farm,coal_mine:149 fishing_wharf:79 gold_mine:6 iron_mine:65 lead_mine:78 logging_camp:80 sulfur_mine:56 whaling_station:1,
AUS,Austria,15,1133,cotton_plantation silk_plantation vineyard,livestock_ranch rye_farm wheat_farm,coal_mine:620 fishing_wharf:54 gold_mine:7 iron_mine:179 lead_mine:51 logging_camp:143 sulfur_mine:36,oil_rig:180
MEX,Mexico,13,1140,banana_plantation coffee_plantation cotton_plantation dye_plantation opium_plantation sugar_plantation tobacco_plantation vineyard,livestock_ranch maize_farm,coal_mine:48 fishing_wharf:57 gold_mine:4 iron_mine:131 lead_mine:72 logging_camp:100,gold_field:9 oil_rig:120 rubber_plantation:82
KOR,Korea,5,405,cotton_plantation opium_plantation silk_plantation tea_plantation tobacco_plantation,livestock_ranch rice_farm,coal_mine:49 fishing_wharf:50 gold_mine:9 iron_mine:101 lead_mine:89 logging_camp:61 sulfur_mine:6 whaling_station:12,
BRZ,Brazil,14,850,banana_plantation coffee_plantation cotton_plantation dye_plantation sugar_plantation tea_plantation tobacco_plantation vineyard,livestock_ranch maize_farm rice_farm,coal_mine:40 fishing_wharf:60 gold_mine:2 iron_mine:132 lead_mine:30 logging_camp:208 whaling_station:8,gold_field:8 oil_rig:60 rubber_plantation:97
PER,Persia,11,640,cotton_plantation dye_plantation opium_plantation silk_plantation sugar_plantation tea_plantation tobacco_plantation vineyard,livestock_ranch rice_farm wheat_farm,coal_mine:118 fishing_wharf:17 iron_mine:183 lead_mine:71 logging_camp:57 sulfur_mine:50,oil_rig:160
