expander,expander_culture,target,day1_war,state
BIC,british,MLD,yes,STATE_CEYLON
BIC,british,KKI,,STATE_ASSAM
BIC,british,KKI,,STATE_MANDALAY
BIC,british,KKI,,STATE_ARAKAN
BIC,british,NGA,,STATE_ASSAM
BIC,british,TIP,,STATE_ASSAM
BIC,british,MGH,,STATE_ASSAM
PRU,north_german,HAN,yes,STATE_ELBE
PRU,north_german,HAN,yes,STATE_HANNOVER
PRU,north_german,HAN,yes,STATE_BRUNSWICK
MEX,mexican,UCA,yes,STATE_GUATEMALA
MEX,mexican,UCA,yes,STATE_HONDURAS
MEX,mexican,UCA,yes,STATE_NICARAGUA
MEX,mexican,UCA,yes,STATE_COSTA_RICA
MEX,mexican,UCA,yes,STATE_CHIAPAS
MEX,mexican,UCA,yes,STATE_SAN_SALVADOR
MEX,mexican,MKT,,STATE_NICARAGUA
BRZ,brazilian,PRG,yes,STATE_MATO_GROSSO
BRZ,brazilian,PRG,yes,STATE_BAJO_PARAGUAY
PER,persian,TRM,yes,STATE_KHIVA
PER,persian,TRM,yes,STATE_URALSK
PER,persian,TRM,yes,STATE_TURKMENIA
PER,persian,TRM,yes,STATE_MERZ
PER,persian,KHI,,STATE_KHIVA
PER,persian,KHI,,STATE_TURKMENIA
PER,persian,KHI,,STATE_MERZ
PER,persian,MAI,,STATE_BALKH
PER,persian,BUK,,STATE_BALKH
PER,persian,BUK,,STATE_UZBEKIA
PER,persian,BUK,,STATE_TAJIKISTAN
PER,persian,BUK,,STATE_MERZ
EGY,misri,DFR,yes,STATE_DARFUR
EGY,misri,JAB,,STATE_HAIL
PAN,panjabi,SIN,yes,STATE_SINDH
PAN,panjabi,BHW,,STATE_PUNJAB
PAN,panjabi,KAL,,STATE_BALUCHISTAN
PAN,panjabi,KAN,,STATE_BALUCHISTAN
PAN,panjabi,KAN,,STATE_SISTAN
PAN,panjabi,KAN,,STATE_KANDAHAR
PAN,panjabi,KAN,,STATE_NORTHERN_BALUCHISTAN
PAN,panjabi,KAN,,STATE_QUETTA
PAN,panjabi,KAN,,STATE_CENTRAL_HIGHLANDS
PAN,panjabi,HER,,STATE_HERAT
PAN,panjabi,HER,,STATE_CENTRAL_HIGHLANDS
PAN,panjabi,KUN,,STATE_BALKH
PAN,panjabi,KAF,,STATE_KABUL
DEI,dutch,SAK,yes,STATE_NORTH_SUMATRA
DEI,dutch,SAK,yes,STATE_ACEH
DEI,dutch,ACE,,STATE_ACEH
SOK,hausa,OYO,yes,STATE_YORUBA_STATES
SOK,hausa,BEN,,STATE_BENIN
SOK,hausa,WAD,,STATE_CHAD
SOK,hausa,WAD,,STATE_WADDAI
SOK,hausa,BGI,,STATE_WADDAI
SAR,north_italian,PAR,yes,STATE_EMILIA
SAR,north_italian,MOD,,STATE_EMILIA
SAR,north_italian,LUC,,STATE_EMILIA
SAR,north_italian,TUS,,STATE_TUSCANY
SWE,swedish,FIN,yes,STATE_UUSIMAA
SWE,swedish,FIN,yes,STATE_ALAND
SWE,swedish,FIN,yes,STATE_WEST_KARELIA
SWE,swedish,FIN,yes,STATE_OSTROBOTHNIA
SWE,swedish,FIN,yes,STATE_KUOPIO
SWE,swedish,FIN,yes,STATE_OULU
SWE,swedish,DEN,,STATE_GOLD_COAST
SWE,swedish,DEN,,STATE_ICELAND
SWE,swedish,DEN,,STATE_GREENLAND
SWE,swedish,DEN,,STATE_JUTLAND
SWE,swedish,DEN,,STATE_ZEALAND
SWE,swedish,DEN,,STATE_WEST_INDIES
SWE,swedish,DEN,,STATE_MADRAS
SWE,swedish,DEN,,STATE_PEGU
DAI,vietnamese,LUA,yes,STATE_LAOS
DAI,vietnamese,DGR,,STATE_MEKONG
DAI,vietnamese,KLO,,STATE_CAMBODIA
NEP,nepali,SIK,yes,STATE_EASTERN_HIMALAYAS
NEP,nepali,BHU,,STATE_EASTERN_HIMALAYAS
NEP,nepali,TIB,,STATE_LHASA
NEP,nepali,TIB,,STATE_NGARI
NEP,nepali,TIB,,STATE_EASTERN_HIMALAYAS
CLM,north_andean,ECU,yes,STATE_ECUADOR
CLM,north_andean,ECU,yes,STATE_PASTAZA
CLM,north_andean,VNZ,,STATE_ZULIA
CLM,north_andean,VNZ,,STATE_MIRANDA
CLM,north_andean,VNZ,,STATE_BOLIVAR
CLM,north_andean,VNZ,,STATE_WEST_INDIES
ARG,platinean,URU,yes,STATE_URUGUAY
ARG,platinean,CHL,,STATE_SANTIAGO
ARG,platinean,CHL,,STATE_LOS_RIOS
