tag,country,feeder_pop_types,target_pop_types,non_promotable_note,pick
CHI,China,"laborers,peasants,farmers","clerks,bureaucrats,academics,engineers",,
RUS,Russia,"laborers,peasants,farmers","clerks,bureaucrats,academics,officers,engineers",,
BIC,East India,"laborers,peasants,farmers","clerks,bureaucrats,academics,officers",,
USA,United States,"laborers,farmers","clerks,bureaucrats,academics,engineers","slaves cannot be promoted (no qualifications block) -- abolition required first",
FRA,France,"laborers,peasants,farmers","clerks,bureaucrats,academics,engineers",,
GBR,Great Britain,"laborers,farmers","clerks,bureaucrats,academics,engineers",,
TUR,Ottomans,"laborers,peasants,farmers","clerks,bureaucrats,academics,officers",,
JAP,Japan,"laborers,peasants,farmers","clerks,bureaucrats,academics,engineers",,
PRU,Prussia,"laborers,peasants,farmers","clerks,bureaucrats,academics,officers,engineers","early-unlock test nation (tier 2 granted at game start)",
SPA,Spain,"laborers,peasants,farmers","clerks,bureaucrats,academics,officers",,
AUS,Austria,"laborers,peasants,farmers","clerks,bureaucrats,academics,officers,engineers",,
MEX,Mexico,"laborers,peasants,farmers","clerks,bureaucrats,academics",,
KOR,Korea,"laborers,peasants,farmers","clerks,bureaucrats,academics",,
BRZ,Brazil,"laborers,peasants,farmers","clerks,bureaucrats,academics","slaves cannot be promoted (no qualifications block) -- abolition required first",
PER,Persia,"laborers,peasants,farmers","clerks,bureaucrats,academics,officers",,
EGY,Egypt,"laborers,peasants,farmers","clerks,bureaucrats,academics,officers",,
PAN,Punjab,"laborers,peasants,farmers","clerks,bureaucrats,academics,officers,engineers","early-unlock test nation (tier 2 granted at game start)",
DEI,Dutch East Indies,"laborers,peasants,farmers","clerks,bureaucrats,academics",,
HUN,Hungary,"laborers,peasants,farmers","clerks,bureaucrats,academics,engineers",,
POR,Portugal,"laborers,peasants,farmers","clerks,bureaucrats,academics",,
SIC,Two Sicilies,"laborers,peasants,farmers","clerks,bureaucrats,academics",,
NET,Netherlands,"laborers,farmers","clerks,bureaucrats,academics,engineers",,
SOK,Sokoto,"laborers,peasants,farmers","clerks,bureaucrats,academics,officers","early-unlock test nation (tier 2 granted at game start); slaves cannot be promoted",
SAR,Sardinia-Piedmont,"laborers,peasants,farmers","clerks,bureaucrats,academics,engineers",,
SWE,Sweden,"laborers,peasants,farmers","clerks,bureaucrats,academics,engineers",,
HYD,Hyderabad,"laborers,peasants,farmers","clerks,bureaucrats,academics,officers",,
GRE,Greece,"laborers,peasants,farmers","clerks,bureaucrats,academics",,
DAI,Dai Nam,"laborers,peasants,farmers","clerks,bureaucrats,academics",,
NEP,Nepal,"laborers,peasants,farmers","clerks,bureaucrats,academics,officers",,
CLM,Colombia,"laborers,peasants,farmers","clerks,bureaucrats,academics",,
ARG,Argentina,"laborers,peasants,farmers","clerks,bureaucrats,academics,engineers",,
SIA,Siam,"laborers,peasants,farmers","clerks,bureaucrats,academics,officers",,
MOR,Morocco,"laborers,peasants,farmers","clerks,bureaucrats,academics","slaves cannot be promoted (no qualifications block) -- abolition required first",
OMA,Oman,"laborers,peasants,farmers","clerks,bureaucrats,academics","slaves cannot be promoted (no qualifications block) -- abolition required first",
SHW,Shewa,"laborers,peasants,farmers","clerks,bureaucrats,academics","slaves cannot be promoted (no qualifications block) -- abolition required first",
SAF,South Africa,"laborers,peasants,farmers","clerks,bureaucrats,academics,engineers",,
PHI,Philippines,"laborers,peasants,farmers","clerks,bureaucrats,academics",,
BEL,Belgium,"laborers,farmers","clerks,bureaucrats,academics,engineers",,
BAV,Bavaria,"laborers,peasants,farmers","clerks,bureaucrats,academics,engineers",,
BUR,Burma,"laborers,peasants,farmers","clerks,bureaucrats,academics",,
