company,file,eligibility,buildings,prosperity_buffs,prestige_goods
company_misr,00_companies_africa.txt,region:STATE_LOWER_EGYPT,building_cotton_plantation building_silk_plantation building_textile_mill,state_loyalists_from_political_movements_mult=0.1,prestige_good_mit_afifi
company_egyptian_rail,00_companies_africa.txt,culture:misri,building_motor_industry building_railway,state_infrastructure_from_population_max_add=20 ; state_trade_capacity_mult=0.1,
company_suez_company,00_companies_africa.txt,region:STATE_SINAI,building_port building_shipyard building_trade_center,state_trade_advantage_mult=0.25 ; country_tax_income_add=50000 ; country_free_charters_add=1,prestige_good_generic_merchant_marine
company_fundidora_monterrey,00_companies_americas.txt,region:STATE_RIO_GRANDE,building_coal_mine building_iron_mine building_steel_mill,building_railway_throughput_add=0.05 ; building_iron_mine_throughput_add=0.1,prestige_good_generic_steel
company_el_aguila,00_companies_americas.txt,(broad),building_oil_rig building_power_plant,country_ship_group_supply_ships_construction_efficiency_add=0.15 ; interest_group_ig_industrialists_approval_add=3,
company_csfa,00_companies_americas.txt,region:STATE_ANTOFAGASTA,building_iron_mine building_railway building_sulfur_mine,state_infrastructure_mult=0.05 ; interest_group_ig_industrialists_approval_add=3,
company_caribbean_petroleum,00_companies_americas.txt,"region:STATE_MIRANDA,STATE_ZULIA",building_oil_rig building_power_plant,country_ship_group_supply_ships_construction_efficiency_add=0.1 ; interest_group_ig_industrialists_approval_add=3,
company_bunge_born,00_companies_americas.txt,(broad),building_chemical_plant building_food_industry building_maize_farm building_wheat_farm,interest_group_ig_rural_folk_pop_attraction_mult=0.2 ; building_tooling_workshop_throughput_add=0.1,prestige_good_generic_groceries
company_la_rosada,00_companies_americas.txt,region:STATE_BAJO_PARAGUAY,building_arms_industry building_artillery_foundry building_iron_mine building_steel_mill,unit_defense_mult=0.05 ; building_iron_mine_throughput_add=0.1,prestige_good_generic_steel
company_famae,00_companies_americas.txt,region:STATE_SANTIAGO,building_arms_industry building_artillery_foundry building_explosives_factory building_munition_plant,unit_offense_mult=0.1 ; building_steel_mill_throughput_add=0.05,prestige_good_generic_small_arms
company_peruvian_amazon,00_companies_americas.txt,region:STATE_PASTAZA,building_logging_camp building_rubber_plantation,state_loyalists_from_political_movements_mult=0.1 ; building_group_bg_rubber_mortality_mult=0.1,
company_kablin,00_companies_americas.txt,(broad),building_logging_camp building_paper_mill building_sulfur_mine,building_tooling_workshop_throughput_add=0.1 ; state_infrastructure_from_population_max_add=15,prestige_good_rosewood
company_hbc,00_companies_americas.txt,region:STATE_MANITOBA,building_fishing_wharf building_food_industry building_logging_camp building_port,state_colony_growth_creation_factor=0.1 ; building_textile_mill_throughput_add=0.05,prestige_good_generic_fish
company_panama_company,00_companies_americas.txt,region:STATE_PANAMA,building_port building_shipyard building_trade_center,state_trade_advantage_mult=0.25 ; country_tax_income_add=50000 ; country_free_charters_add=1,prestige_good_generic_merchant_marine
company_east_india_company,00_companies_asia.txt,tag:GBR,building_opium_plantation building_silk_plantation building_sugar_plantation building_tea_plantation building_tobacco_plantation,country_ship_group_supply_ships_construction_efficiency_add=0.2,prestige_good_bengal_opium
company_imperial_arsenal,00_companies_asia.txt,region:STATE_EASTERN_THRACE,building_artillery_foundry building_explosives_factory building_shipyard building_steel_mill,ship_armor_mult=0.05,
company_ottoman_tobacco_regie,00_companies_asia.txt,culture:turkish,building_opium_plantation building_tobacco_plantation,country_production_tech_spread_mult=0.1,prestige_good_turkish_tobacco
company_allatini_mills,00_companies_asia.txt,region:STATE_MACEDONIA,building_food_industry building_rye_farm building_wheat_farm,building_food_industry_throughput_add=0.1 ; state_radicalism_increases_violent_hostility_mult=-0.05 ; state_radicalism_increases_cultural_erasure_mult=-0.05 ; state_radicalism_increases_open_prejudice_mult=-0.05,prestige_good_generic_grain
company_orient_express,00_companies_asia.txt,(broad),building_motor_industry building_railway,country_prestige_mult=0.1,
company_great_indian_railway,00_companies_asia.txt,(broad),building_iron_mine building_railway,state_infrastructure_from_population_add=0.5 ; state_infrastructure_from_population_max_add=20,
