modifier,buffs,granted_by,duration,countries,file
age_of_caudillos_modifier,interest_group_ig_armed_forces_pop_attraction_mult=0.1 ; interest_group_ig_armed_forces_pol_str_mult=0.5 ; country_officers_pol_str_mult=2.5,interest_group,permanent,c:ZAN,common/interest_groups/00_armed_forces.txt
age_of_caudillos_modifier,interest_group_ig_armed_forces_pop_attraction_mult=0.1 ; interest_group_ig_armed_forces_pol_str_mult=0.5 ; country_officers_pol_str_mult=2.5,journal,permanent,(conditional),common/journal_entries/02_caudillo.txt
caucasus_war_attacker,state_radicalism_increases_violent_hostility_mult=0.20 ; state_radicalism_increases_cultural_erasure_mult=0.20 ; state_radicalism_increases_open_prejudice_mult=0.20 ; state_tax_waste_add=0.50 ; state_mortality_mult=0.10 ; state_circassian_standard_of_living_add=-3 ; state_north_caucasian_standard_of_living_add=-2,journal,permanent,"c:CHC(Chechnya), c:CIR(Circassia), c:RUS(Russia)",common/journal_entries/03_russia.txt
country_default,(non-numeric),on_action,permanent,(conditional),common/on_actions/00_code_on_actions.txt
debug_authority,country_authority_add=1000,event,permanent,(conditional),events/debug_events.txt
debug_bureaucracy,country_bureaucracy_add=1000,event,permanent,(conditional),events/debug_events.txt
debug_influence,country_influence_add=1000,event,permanent,(conditional),events/debug_events.txt
debug_movement_activism_down,political_movement_radicalism_add=-0.1,other,permanent,(conditional),common/scripted_guis/debug_sguis.txt
debug_movement_activism_up,political_movement_radicalism_add=0.1,other,permanent,(conditional),common/scripted_guis/debug_sguis.txt
eastern_crisis_balkan_nations,country_diplomatic_play_maneuvers_mult=1.0 ; country_military_tech_spread_mult=0.25 ; country_liberty_desire_add=0.35,event,permanent,"c:AUS(Austria), c:RUS(Russia), c:TUR(Turkey)",events/balkans_events/eastern_crisis.txt
famed_mountaineer,character_popularity_add=10,event,permanent,(conditional),events/tibetan_expedition.txt
foreign_legislative_interference,(non-numeric),journal,permanent,(conditional),common/journal_entries/00_impose_law.txt
foreign_legislative_interference,(non-numeric),journal,permanent,(conditional),common/journal_entries/04_india_british_dictates.txt
foreign_legislative_interference,(non-numeric),other,permanent,(conditional),common/scripted_buttons/04_law_imposition_buttons.txt
foreign_legislative_interference_enactment,(non-numeric),other,permanent,(conditional),common/scripted_buttons/04_law_imposition_buttons.txt
foreign_legislative_interference_enactment,(non-numeric),event,permanent,(conditional),events/india_events/british_dictates.txt
foreign_legislative_interference_enactment,(non-numeric),event,permanent,(conditional),events/india_events/british_dictates.txt
foreign_legislative_interference_enactment,(non-numeric),event,permanent,(conditional),events/law_imposition_events.txt
foreign_legislative_interference_enactment,(non-numeric),event,permanent,(conditional),events/law_imposition_events.txt
garibaldi_popularity_modifier_tier_1,character_popularity_add=20 ; character_battle_condition_surprise_maneuver_mult=0.5,event,permanent,(conditional),events/agitators_events/garibaldi_events.txt
garibaldi_popularity_modifier_tier_2,character_popularity_add=40 ; character_battle_condition_surprise_maneuver_mult=1 ; unit_defense_mult=0.05,event,permanent,(conditional),events/agitators_events/garibaldi_events.txt
garibaldi_popularity_modifier_tier_3,character_popularity_add=60 ; character_battle_condition_surprise_maneuver_mult=1 ; unit_defense_mult=0.05 ; unit_offense_mult=0.05,event,permanent,(conditional),events/agitators_events/garibaldi_events.txt
garibaldi_popularity_modifier_tier_4,character_popularity_add=80 ; character_battle_condition_surprise_maneuver_mult=1 ; unit_defense_mult=0.1 ; unit_offense_mult=0.05,event,permanent,(conditional),events/agitators_events/garibaldi_events.txt
garibaldi_popularity_modifier_tier_5,character_popularity_add=100 ; character_battle_condition_surprise_maneuver_mult=1 ; unit_defense_mult=0.1 ; unit_offense_mult=0.1,event,permanent,(conditional),events/agitators_events/garibaldi_events.txt
lands_of_anarchy_harka_popularity_mod,character_popularity_add=20,other,permanent,(conditional),common/scripted_buttons/morocco_makhzen_buttons.txt
lands_of_anarchy_tribal_al_rif_leader_mod,character_popularity_add=-25,event,permanent,(conditional),events/iberia_events/morocco_makhzen_events.txt
lands_of_anarchy_tribal_inner_morocco_leader_mod,character_popularity_add=-25,event,permanent,(conditional),events/iberia_events/morocco_makhzen_events.txt
lands_of_anarchy_tribal_marrakech_leader_mod,character_popularity_add=-25,event,permanent,(conditional),events/iberia_events/morocco_makhzen_events.txt
lippe_crisis,building_throughput_add=-0.1 ; country_loan_interest_rate_mult=1.0,journal,10 years,"c:LIP(Lippe), c:SCM(Schaumburg-Lippe)",common/journal_entries/99_test_global_je.txt
lippe_crisis,building_throughput_add=-0.1 ; country_loan_interest_rate_mult=1.0,journal,10 years,"c:LIP(Lippe), c:SCM(Schaumburg-Lippe)",common/journal_entries/99_test_global_je.txt
lippe_crisis_averted,building_throughput_add=0.05 ; country_loan_interest_rate_mult=-0.33,journal,10 years,"c:LIP(Lippe), c:SCM(Schaumburg-Lippe)",common/journal_entries/99_test_global_je.txt
modifier_agitator_commander_political_patronage,character_popularity_add=25 ; character_loyalty_add=10,other,permanent,(conditional),common/character_interactions/01_additional_interactions.txt
modifier_agitator_commander_political_smears,character_popularity_add=-25 ; character_loyalty_add=-10,other,permanent,(conditional),common/character_interactions/01_additional_interactions.txt
modifier_agitator_political_patronage,character_popularity_add=25,other,permanent,(conditional),common/character_interactions/01_additional_interactions.txt
modifier_agitator_political_smears,character_popularity_add=-25,other,permanent,(conditional),common/character_interactions/01_additional_interactions.txt
modifier_burning_of_the_treasury,political_movement_radicalism_add=0.15,event,permanent,(conditional),events/iberia_events/ip4_portuguese_political_events.txt
modifier_commander_political_patronage,character_prominence_add=20 ; character_loyalty_add=10,other,permanent,(conditional),common/character_interactions/01_additional_interactions.txt
modifier_commander_political_smears,character_prominence_add=-20 ; character_loyalty_add=-10,other,permanent,(conditional),common/character_interactions/01_additional_interactions.txt
modifier_ferdinand_the_good,character_popularity_add=50,other,permanent,(conditional),common/character_templates/country_aus.txt
modifier_fudai_daimyo,character_loyalty_add=5,scripted_effect,permanent,(conditional),common/scripted_effects/00_victoria_ep2_scripted_effects.txt
modifier_fudai_daimyo,character_loyalty_add=5,scripted_effect,permanent,(conditional),common/scripted_effects/00_victoria_ep2_scripted_effects.txt
modifier_fudai_daimyo_restoration,character_loyalty_add=-5,scripted_effect,permanent,(conditional),common/scripted_effects/00_victoria_ep2_scripted_effects.txt
modifier_fudai_daimyo_restoration,character_loyalty_add=-5,scripted_effect,permanent,(conditional),common/scripted_effects/00_victoria_ep2_scripted_effects.txt
modifier_god_fatherland_fuero_king,country_legitimacy_base_add=10 ; country_authority_add=100,event,permanent,(conditional),events/iberia_events/two_spains_events.txt
modifier_honour_and_life_military,country_military_tech_spread_mult=0.10 ; building_throughput_add=0.05 ; interest_group_ig_industrialists_pol_str_mult=0.15,event,permanent,(conditional),events/soi_events/00_ep1_caucasus_events.txt
