tag,country,rank,gdp_proxy,pop,homeland_states,total_states,provinces
CHI,China,1,1042,366405602,31,43,3421
BIC,East India,2,235,110522582,0,21,285
RUS,Russia,3,594,55942216,46,73,9593
FRA,France,4,626,34586675,19,29,210
JAP,Japan,5,142,32545935,10,11,89
GBR,Great Britain,6,882,25951647,11,26,365
AUS,Austria,7,256,20748330,7,15,128
TUR,Turkey,8,259,19196112,20,30,398
KOR,Korea,9,75,16202232,5,5,63
USA,America,10,451,15681769,32,39,966
PRU,Prussia,11,210,14062517,13,13,120
SPA,Spain,12,203,11905901,14,15,136
HYD,Hyderabad,13,14,10855454,2,2,54
DEI,East Indies,14,39,9512372,0,11,121
HUN,Hungary,15,50,9419768,7,7,80
EGY,Egypt,16,139,8925808,6,17,589
PAN,Punjab,17,55,8105904,2,3,66
SIC,Two Sicilies,18,124,7032680,5,5,29
MEX,Mexico,19,73,6950447,17,22,772
PER,Persia,20,70,6618409,12,12,330
DAI,Dai Nam,21,72,6570909,3,4,59
POR,Portugal,22,119,6120718,6,19,81
SOK,Sokoto,23,98,5428321,5,5,159
AWA,Awadh,24,31,4824221,1,1,15
NEP,Nepal,25,37,4242426,1,1,33
BAV,Bavaria,26,52,4175788,2,3,27
BEL,Belgium,27,95,4147468,2,3,14
BRZ,Brazil,28,167,4040571,14,14,940
SIA,Siam,29,62,3866645,3,6,97
MYS,Mysore,30,15,3798574,1,1,14
SAR,Sardinia-Piedmont,31,63,3629072,2,4,25
BUR,Burma,32,16,3473474,3,4,90
MOR,Morocco,33,52,3244592,4,4,101
NAG,Nagpur,34,12,3148803,1,1,25
TIB,Tibet,35,23,2860146,3,3,281
SWE,Sweden,36,92,2797184,5,5,283
NET,Netherlands,37,165,2772765,3,6,46
PAP,Rome,38,32,2594064,3,3,14
PHI,Philippines,39,32,2575279,3,4,44
IBO,Igbo,40,0,2346000,1,1,16
WAL,Wallachia,41,40,2227865,1,1,24
KAB,KAB,42,22,2163084,4,4,55
TRS,Transylvania,43,11,2062404,2,2,21
MAS,MAS,44,18,2009192,2,2,41
SWI,Switzerland,45,34,1966164,2,2,15
SIN,Sindh,46,3,1960004,1,1,32
MAD,Madagascar,47,27,1942904,2,2,122
HAN,Hanover,48,18,1846996,3,3,14
JAI,Dhundhar,49,3,1821010,1,1,10
WUR,Württemberg,50,20,1719750,1,1,5
UCA,Central America,51,22,1681471,5,6,83
BEN,Benin,52,23,1677788,1,1,15
SAX,Saxony,53,21,1671500,1,1,6
TUS,Tuscany,54,43,1632396,1,1,6
KOK,Kokand,55,25,1619460,2,4,99
CLM,Colombia,56,33,1618606,4,6,266
UBD,United Baltic Provinces,57,18,1577759,4,4,47
OYO,Oyo,58,18,1576004,1,1,12
OMA,Oman,59,38,1550241,3,7,102
CON,CON,60,15,1488235,1,1,24
BUK,Bukhara,61,26,1477596,3,4,87
GWA,Gwalior,62,6,1450619,1,2,20
FIN,Finland,63,26,1444214,6,6,244
MOS,Mossi,64,0,1427196,1,1,40
DEN,Denmark,65,63,1410686,2,8,440
BOL,Bolivia,66,36,1394398,4,8,353
MOL,Moldavia,67,6,1358409,1,1,14
TUN,Tunis,68,25,1315008,1,1,39
BAD,Baden,69,10,1301400,1,1,5
KAS,Kashmir,70,9,1270851,1,1,10
JOD,Marwar,71,0,1252870,1,1,22
MSN,Massina,72,23,1247500,2,2,65
NOR,Norway,73,29,1236860,3,3,224
ASM,Assam,74,2,1212183,1,1,6
BCE,BCE,75,3,1199900,0,1,13
CRO,Croatia,76,10,1194220,2,2,15
ASH,Ashanti,77,36,1188308,2,2,47
GZA,GZA,78,26,1134443,1,2,46
BER,Baroda,79,7,1118767,1,1,8
KAN,KAN,80,5,1088284,5,6,62
TRA,Travancore,81,4,1055033,1,1,5
KHI,Khiva,82,28,1043388,2,3,40
VNZ,Venezuela,83,16,1007847,3,4,168
KON,Kongo,84,6,997804,2,2,35
HAI,Haiti,85,14,989800,1,2,15
ECU,Ecuador,86,9,965625,1,2,100
CHL,Chile,87,23,964904,2,3,80
ZAI,Azal,88,9,947800,1,1,27
GRE,Greece,89,19,939992,3,3,15
HER,HER,90,5,932107,2,2,39
CMI,Chiang Mai,91,12,924200,1,1,24
MRV,MRV,92,0,923300,2,2,68
CUB,Cuba,93,27,904778,3,3,22
BAG,BAG,94,0,892879,1,1,9
GJM,Gojjam,95,23,891000,1,1,11
NPU,NPU,96,23,866600,2,3,112
BOR,Bornu,97,19,858594,2,4,60
BAL,Bali,98,13,837892,1,1,2
ARG,Argentina,99,25,813812,8,8,291
KBA,Kuba,100,0,804000,1,1,46
TRI,Tripolitania,101,21,772744,2,2,47
BUN,Orchha,102,2,770983,1,1,4
BUG,Buganda,103,13,767188,1,1,15
PPU,Papua,104,0,752098,2,2,126
BGM,Begemder,105,18,750720,1,1,19
SAT,SAT,106,0,742713,1,1,10
FNG,Fang,107,0,730792,2,2,71
HES,Hesse,108,7,729108,1,1,3
SER,Serbia,109,2,719909,2,2,11
CAM,Cambodia,110,17,714412,1,1,19
PTA,PTA,111,1,714136,1,2,5
SPC,SPC,112,20,697775,3,3,13
SPU,SPU,113,18,681108,3,3,77
DLA,Duala,114,0,680000,1,1,6
SHW,Shewa,115,15,676898,1,1,12
CIR,Circassia,116,5,660809,1,2,19
MEW,Mewar,117,4,659983,1,1,8
TGR,Tigray,118,19,648719,1,1,14
MOD,Modena,119,7,648400,1,1,2
HEK,Hesse-Kassel,120,4,633288,1,1,4
SHS,SHS,121,0,627800,1,1,21
SAF,South Africa,122,8,625500,0,3,88
BNG,Bangala,123,0,625200,1,1,94
LBA,Luba,124,0,618416,3,3,46
KZH,Kishi Zhuz,125,3,616122,4,6,251
MAK,Makran,126,3,589507,2,2,56
NYM,Unyamwezi,127,0,585900,1,1,42
QWR,QWR,128,19,585520,1,1,7
IND,Indore,129,8,578753,1,2,10
KAL,Kalat,130,4,577392,1,1,39
SAK,Siak,131,9,572281,2,2,16
QUE,Quebec,132,13,555200,1,1,220
ALW,ALW,133,0,535462,1,1,4
BAS,Bastar,134,3,534735,1,1,10
COC,COC,135,0,530451,1,1,1
HDJ,Hedjaz,136,13,526700,2,2,110
MDK,Mandinka,137,0,518709,3,3,38
KHP,KHP,138,0,517691,1,1,3
MUG,Hindustan,139,3,514378,1,1,1
