tag,country,x,pinned,x_formula,x_raw,pop_m,gdp_index,homeland_states,total_states
CHI,China,10,PIN,10,28.89,366.41,1.181,31.0,43.0
RUS,Russia,10,PIN,10,18.7,55.94,0.673,46.0,73.0
BIC,East India,10,PIN,10,11.31,110.52,0.266,0.0,21.0
USA,America,9,PIN,10,11.89,15.68,0.511,32.0,39.0
FRA,France,9,PIN,10,11.81,34.59,0.71,19.0,29.0
GBR,Great Britain,9,PIN,10,10.29,25.95,1.0,11.0,26.0
TUR,Turkey,9,,9,9.26,19.2,0.294,20.0,30.0
JAP,Japan,8,,8,8.19,32.55,0.161,10.0,11.0
PRU,Prussia,7,,7,7.06,14.06,0.238,13.0,13.0
SPA,Spain,6,,6,6.94,11.91,0.23,14.0,15.0
AUS,Austria,6,,6,6.83,20.75,0.29,7.0,15.0
MEX,Mexico,6,,6,6.28,6.95,0.083,17.0,22.0
BRZ,Brazil,5,,5,5.38,4.04,0.189,14.0,14.0
KOR,Korea,5,,5,5.28,16.2,0.085,5.0,5.0
PER,Persia,5,,5,5.21,6.62,0.079,12.0,12.0
EGY,Egypt,5,PIN,4,4.66,8.93,0.158,6.0,17.0
PAN,Punjab,5,PIN,3,3.43,8.11,0.062,2.0,3.0
DEI,East Indies,5,PIN,3,3.22,9.51,0.044,0.0,11.0
HUN,Hungary,4,,4,4.64,9.42,0.057,7.0,7.0
POR,Portugal,4,,4,4.08,6.12,0.135,6.0,19.0
SIC,Two Sicilies,4,,4,4.07,7.03,0.141,5.0,5.0
SOK,Sokoto,4,PIN,3,3.66,5.43,0.111,5.0,5.0
SWE,Sweden,4,PIN,2,2.99,2.8,0.104,5.0,5.0
NET,Netherlands,4,PIN,2,2.83,2.77,0.187,3.0,6.0
SAR,Sardinia-Piedmont,4,PIN,2,2.52,3.63,0.071,2.0,4.0
HYD,Hyderabad,3,,3,3.74,10.86,0.016,2.0,2.0
DAI,Dai Nam,3,,3,3.41,6.57,0.082,3.0,4.0
ARG,Argentina,3,PIN,2,2.59,0.81,0.028,8.0,8.0
NEP,Nepal,3,PIN,2,2.39,4.24,0.042,1.0,1.0
CLM,Colombia,3,PIN,2,2.18,1.62,0.037,4.0,6.0
GRE,Greece,3,PIN,1,1.63,0.94,0.022,3.0,3.0
SIA,Siam,2,,2,2.78,3.87,0.07,3.0,6.0
MOR,Morocco,2,,2,2.78,3.24,0.059,4.0,4.0
BEL,Belgium,2,,2,2.76,4.15,0.108,2.0,3.0
BAV,Bavaria,2,,2,2.62,4.18,0.059,2.0,3.0
BUR,Burma,2,,2,2.52,3.47,0.018,3.0,4.0
AWA,Awadh,2,,2,2.5,4.82,0.035,1.0,1.0
FIN,Finland,2,,2,2.49,1.44,0.029,6.0,6.0
TIB,Tibet,2,,2,2.37,2.86,0.026,3.0,3.0
UCA,Central America,2,,2,2.37,1.68,0.025,5.0,6.0
KAB,KAB,2,,2,2.35,2.16,0.025,4.0,4.0
PAP,Rome,2,,2,2.32,2.59,0.036,3.0,3.0
PHI,Philippines,2,PIN,2,2.31,2.58,0.036,3.0,4.0
MYS,Mysore,2,,2,2.2,3.8,0.017,1.0,1.0
UBD,United Baltic Provinces,2,,2,2.12,1.58,0.02,4.0,4.0
HBC,Hudson's Bay Company,2,,2,2.12,0.26,0.005,8.0,9.0
BOL,Bolivia,2,,2,2.1,1.39,0.041,4.0,8.0
KAN,KAN,2,,2,2.06,1.09,0.006,5.0,6.0
NAG,Nagpur,2,,2,2.02,3.15,0.014,1.0,1.0
HAN,Hanover,2,,2,2.02,1.85,0.02,3.0,3.0
OMA,Oman,2,PIN,1,1.97,1.55,0.043,3.0,7.0
SHW,Shewa,2,PIN,1,1.07,0.68,0.017,1.0,1.0
SAF,South Africa,2,PIN,0,0.82,0.63,0.009,0.0,3.0
SWI,Switzerland,1,,1,1.92,1.97,0.039,2.0,2.0
BUK,Bukhara,1,,1,1.9,1.48,0.029,3.0,4.0
