tag,building,kind,need,rank,state,pop,levels,left,basis,group,fd_region,map_src
CHI,building_tea_plantation,champ,20,1,STATE_JIANGXI,24213496,1,597,arable_land,bg_plantations,STATE_BEIJING,state_regions/11_east_asia.txt
CHI,building_tea_plantation,champ,20,2,STATE_SOUTHERN_ANHUI,22832408,1,547,arable_land,bg_plantations,STATE_BEIJING,state_regions/11_east_asia.txt
CHI,building_tea_plantation,champ,20,3,STATE_HENAN,20936384,1,499,arable_land,bg_plantations,STATE_BEIJING,state_regions/11_east_asia.txt
CHI,building_tea_plantation,champ,20,4,STATE_CHONGQING,20092808,1,497,arable_land,bg_plantations,STATE_BEIJING,state_regions/11_east_asia.txt
CHI,building_tea_plantation,champ,20,5,STATE_SUZHOU,17672008,1,398,arable_land,bg_plantations,STATE_BEIJING,state_regions/11_east_asia.txt
CHI,building_tea_plantation,champ,20,6,STATE_FUJIAN,16324832,1,398,arable_land,bg_plantations,STATE_BEIJING,state_regions/11_east_asia.txt
CHI,building_tea_plantation,champ,20,7,STATE_SHANDONG,15176000,1,350,arable_land,bg_plantations,STATE_BEIJING,state_regions/11_east_asia.txt
CHI,building_tea_plantation,champ,20,8,STATE_GUANGXI,14938908,1,399,arable_land,bg_plantations,STATE_BEIJING,state_regions/11_east_asia.txt
CHI,building_tea_plantation,champ,20,9,STATE_SICHUAN,14003796,1,329,arable_land,bg_plantations,STATE_BEIJING,state_regions/11_east_asia.txt
CHI,building_tea_plantation,champ,20,10,STATE_EASTERN_HUBEI,13524896,1,319,arable_land,bg_plantations,STATE_BEIJING,state_regions/11_east_asia.txt
CHI,building_tea_plantation,champ,20,11,STATE_HUNAN,13399992,1,330,arable_land,bg_plantations,STATE_BEIJING,state_regions/11_east_asia.txt
CHI,building_tea_plantation,champ,20,12,STATE_WESTERN_HUBEI,13150000,1,319,arable_land,bg_plantations,STATE_BEIJING,state_regions/11_east_asia.txt
CHI,building_tea_plantation,champ,20,13,STATE_GUANGDONG,12662392,1,329,arable_land,bg_plantations,STATE_BEIJING,state_regions/11_east_asia.txt
CHI,building_tea_plantation,champ,20,14,STATE_NANJING,11132284,1,360,arable_land,bg_plantations,STATE_BEIJING,state_regions/11_east_asia.txt
CHI,building_tea_plantation,champ,20,15,STATE_JIANGSU,10993608,1,279,arable_land,bg_plantations,STATE_BEIJING,state_regions/11_east_asia.txt
CHI,building_tea_plantation,champ,20,16,STATE_NORTHERN_ANHUI,10662000,1,269,arable_land,bg_plantations,STATE_BEIJING,state_regions/11_east_asia.txt
CHI,building_tea_plantation,champ,20,17,STATE_XIAN,9695792,1,250,arable_land,bg_plantations,STATE_BEIJING,state_regions/11_east_asia.txt
CHI,building_tea_plantation,champ,20,18,STATE_ZHEJIANG,9473000,1,249,arable_land,bg_plantations,STATE_BEIJING,state_regions/11_east_asia.txt
CHI,building_tea_plantation,champ,20,19,STATE_SHAOZHOU,8913992,1,198,arable_land,bg_plantations,STATE_BEIJING,state_regions/11_east_asia.txt
CHI,building_tea_plantation,champ,20,20,STATE_NINGXIA,8820588,1,200,arable_land,bg_plantations,STATE_BEIJING,state_regions/11_east_asia.txt
CHI,building_fishing_wharf,support,2,1,STATE_SUZHOU,17672008,1,4,capped_resources,bg_fishing,STATE_BEIJING,state_regions/11_east_asia.txt
CHI,building_fishing_wharf,support,2,2,STATE_FUJIAN,16324832,1,9,capped_resources,bg_fishing,STATE_BEIJING,state_regions/11_east_asia.txt
