tag,capital,champ_building,champ_want,champ_got,champ_states,champ_max_in_one_state,support_types,support_want,support_got,support_states,champ_dominant,entries
CHI,STATE_BEIJING,building_tea_plantation,20,20,20,1,6,12,12,4,yes,32
RUS,STATE_INGRIA,building_logging_camp,20,20,20,1,6,12,12,5,yes,32
BIC,STATE_WEST_BENGAL,building_dye_plantation,20,20,19,2,6,12,12,6,yes,31
USA,STATE_DISTRICT_OF_COLUMBIA,building_livestock_ranch,18,18,18,1,6,12,12,5,yes,30
FRA,STATE_ILE_DE_FRANCE,building_vineyard,18,18,18,1,6,12,12,4,yes,30
GBR,STATE_HOME_COUNTIES,building_coal_mine,18,18,8,3,6,12,12,2,yes,20
TUR,STATE_EASTERN_THRACE,building_tobacco_plantation,18,18,18,1,6,12,12,4,yes,30
JAP,STATE_KYOTO,building_fishing_wharf,16,16,11,2,6,12,12,2,yes,23
PRU,STATE_BRANDENBURG,building_steel_mill,14,14,13,2,6,6,6,1,yes,19
SPA,STATE_NEW_CASTILE,building_furniture_manufactory,12,12,12,1,6,6,6,2,yes,18
AUS,STATE_AUSTRIA,building_furniture_manufactory,12,12,12,1,6,6,6,2,yes,18
MEX,STATE_MEXICO,building_tobacco_plantation,12,12,9,2,6,6,6,3,yes,15
KOR,STATE_SEOUL,building_logging_camp,10,10,5,2,6,6,6,2,yes,11
BRZ,STATE_RIO_DE_JANEIRO,building_banana_plantation,10,10,10,1,6,6,6,1,yes,16
PER,STATE_IRAKAJEMI,building_textile_mill,10,10,10,1,6,6,6,2,yes,16
EGY,STATE_LOWER_EGYPT,building_cotton_plantation,10,10,10,1,6,6,6,2,yes,16
PAN,STATE_PUNJAB,building_cotton_plantation,10,10,2,5,6,6,6,2,yes,8
DEI,STATE_WEST_JAVA,building_banana_plantation,10,10,10,1,6,6,6,1,yes,16
HUN,STATE_CENTRAL_HUNGARY,building_livestock_ranch,8,8,7,2,6,6,6,2,yes,13
POR,STATE_ESTREMADURA,building_fishing_wharf,8,8,8,1,6,6,6,1,yes,14
SIC,STATE_CAMPANIA,building_sulfur_mine,8,8,1,8,6,6,6,1,yes,7
NET,STATE_HOLLAND,building_textile_mill,8,8,6,2,6,6,6,2,yes,12
SOK,STATE_HAUSALAND,building_millet_farm,8,8,5,2,7,7,7,1,yes,12
SAR,STATE_PIEDMONT,building_cotton_plantation,8,8,4,2,5,6,5,2,yes,9
SWE,STATE_SVEALAND,building_iron_mine,8,8,3,3,6,6,6,2,yes,9
HYD,STATE_HYDERABAD,building_paper_mill,6,6,2,3,6,6,6,1,NO,8
GRE,STATE_ATTICA,building_vineyard,6,6,3,2,6,6,6,1,NO,9
DAI,STATE_ANNAM,building_fishing_wharf,6,6,3,2,6,6,6,2,NO,9
NEP,STATE_HIMALAYAS,building_logging_camp,6,6,1,6,7,7,7,1,NO,8
CLM,STATE_CUNDINAMARCA,building_coffee_plantation,6,6,5,2,6,6,6,2,NO,11
ARG,STATE_BUENOS_AIRES,building_livestock_ranch,6,6,6,1,6,6,6,3,NO,12
SIA,STATE_BANGKOK,building_fishing_wharf,4,4,4,1,6,6,6,1,NO,10
MOR,STATE_FEZ,building_cotton_plantation,4,4,3,2,6,6,6,2,NO,9
OMA,STATE_OMAN,building_coffee_plantation,4,4,3,2,6,6,6,2,NO,9
SHW,STATE_OROMIA,building_coffee_plantation,4,4,1,4,6,6,6,1,NO,7
SAF,STATE_CAPE_COLONY,building_livestock_ranch,4,4,3,2,6,6,6,1,NO,9
PHI,STATE_LUZON,building_sugar_plantation,4,4,2,2,6,6,6,1,NO,8
BEL,STATE_FLANDERS,building_steel_mill,4,4,3,2,6,6,6,2,NO,9
BAV,STATE_BAVARIA,building_vineyard,4,4,3,2,6,6,6,1,NO,9
BUR,STATE_MANDALAY,building_tea_plantation,4,4,3,2,6,6,6,2,NO,9
