tag,state,building,levels,navy_law,law_source,cap,over_by
ABU,STATE_ABU_DHABI,building_port,1,law_merchant_navy,group default,50,0
ACE,STATE_ACEH,building_port,1,law_merchant_navy,group default,50,0
ALK,STATE_ALASKA,building_port,1,law_merchant_navy,group default,50,0
ALK,STATE_SAKHALIN,building_port,1,law_merchant_navy,group default,50,0
ARG,STATE_BUENOS_AIRES,building_naval_administration,1,law_merchant_navy,group default,20,0
ARG,STATE_BUENOS_AIRES,building_port,1,law_merchant_navy,group default,50,0
AUS,STATE_DALMATIA,building_port,1,law_merchant_navy,group default,50,0
AUS,STATE_ISTRIA,building_port,4,law_merchant_navy,group default,50,0
AUS,STATE_MONTENEGRO,building_port,2,law_merchant_navy,group default,50,0
AUS,STATE_VENETIA,building_naval_administration,2,law_merchant_navy,group default,20,0
AUS,STATE_VENETIA,building_port,2,law_merchant_navy,group default,50,0
BCE,STATE_CEYLON,building_port,1,law_merchant_navy,group default,50,0
BEL,STATE_FLANDERS,building_naval_administration,15,law_merchant_navy,group default,20,0
BEL,STATE_FLANDERS,building_port,3,law_merchant_navy,group default,50,0
BER,STATE_GUJARAT,building_naval_administration,1,law_merchant_navy,group default,20,0
BHN,STATE_LARISTAN,building_port,1,law_merchant_navy,group default,50,0
BIC,STATE_BOMBAY,building_naval_administration,1,law_merchant_navy,group default,20,0
BIC,STATE_BOMBAY,building_port,4,law_merchant_navy,group default,50,0
BIC,STATE_CIRCARS,building_port,1,law_merchant_navy,group default,50,0
BIC,STATE_EAST_BENGAL,building_port,1,law_merchant_navy,group default,50,0
BIC,STATE_MADRAS,building_port,1,law_merchant_navy,group default,50,0
BIC,STATE_ORISSA,building_port,1,law_merchant_navy,group default,50,0
BIC,STATE_PEGU,building_port,1,law_merchant_navy,group default,50,0
BIC,STATE_TENASSERIM,building_port,1,law_merchant_navy,group default,50,0
BIC,STATE_WEST_BENGAL,building_port,7,law_merchant_navy,group default,50,0
BOL,STATE_ANTOFAGASTA,building_port,1,law_merchant_navy,group default,50,0
BRE,STATE_ELBE,building_port,1,law_merchant_navy,group default,50,0
BRZ,STATE_BAHIA,building_port,2,law_merchant_navy,group default,50,0
BRZ,STATE_PERNAMBUCO,building_port,1,law_merchant_navy,group default,50,0
BRZ,STATE_RIO_DE_JANEIRO,building_naval_administration,10,law_merchant_navy,group default,20,0
BRZ,STATE_RIO_DE_JANEIRO,building_port,4,law_merchant_navy,group default,50,0
BUR,STATE_PEGU,building_port,2,law_merchant_navy,group default,50,0
CHI,STATE_FORMOSA,building_port,1,law_merchant_navy,group default,50,0
CHI,STATE_FUJIAN,building_naval_administration,4,law_merchant_navy,group default,20,0
CHI,STATE_GUANGDONG,building_port,15,law_merchant_navy,group default,50,0
CHI,STATE_SHANDONG,building_port,1,law_merchant_navy,group default,50,0
CHI,STATE_SHAOZHOU,building_port,1,law_merchant_navy,group default,50,0
CHI,STATE_SUZHOU,building_port,1,law_merchant_navy,group default,50,0
CHL,STATE_SANTIAGO,building_naval_administration,1,law_merchant_navy,group default,20,0
CHL,STATE_SANTIAGO,building_port,1,law_merchant_navy,group default,50,0
CIR,STATE_KUBAN,building_port,1,law_merchant_navy,group default,50,0
CLM,STATE_ANTIOQUIA,building_port,1,law_merchant_navy,group default,50,0
CON,STATE_CONSTANTINE,building_naval_administration,2,law_merchant_navy,group default,20,0
CRO,STATE_CROATIA,building_port,1,law_merchant_navy,group default,50,0
CUB,STATE_WESTERN_CUBA,building_port,2,law_merchant_navy,group default,50,0
DAI,STATE_ANNAM,building_port,1,law_merchant_navy,group default,50,0
DAI,STATE_MEKONG,building_port,1,law_merchant_navy,group default,50,0
DEI,STATE_CELEBES,building_port,1,law_merchant_navy,group default,50,0
DEI,STATE_EAST_BORNEO,building_port,1,law_merchant_navy,group default,50,0
DEI,STATE_EAST_JAVA,building_naval_administration,1,law_merchant_navy,group default,20,0
DEI,STATE_MOLUCCAS,building_port,1,law_merchant_navy,group default,50,0
DEI,STATE_NORTH_SUMATRA,building_port,1,law_merchant_navy,group default,50,0
DEI,STATE_SUNDA_ISLANDS,building_port,1,law_merchant_navy,group default,50,0
DEI,STATE_WEST_JAVA,building_port,1,law_merchant_navy,group default,50,0
DEN,STATE_GOLD_COAST,building_port,1,law_diplomatic_navy,history,40,0
DEN,STATE_GREENLAND,building_port,1,law_diplomatic_navy,history,40,0
DEN,STATE_ICELAND,building_port,1,law_diplomatic_navy,history,40,0
DEN,STATE_JUTLAND,building_naval_administration,15,law_diplomatic_navy,history,30,0
DEN,STATE_JUTLAND,building_port,1,law_diplomatic_navy,history,40,0
DEN,STATE_MADRAS,building_port,1,law_diplomatic_navy,history,40,0
DEN,STATE_PEGU,building_port,1,law_diplomatic_navy,history,40,0
DEN,STATE_WEST_INDIES,building_port,1,law_diplomatic_navy,history,40,0
DEN,STATE_ZEALAND,building_port,1,law_diplomatic_navy,history,40,0
ECU,STATE_ECUADOR,building_port,1,law_merchant_navy,group default,50,0
EGY,STATE_ADANA,building_port,2,law_merchant_navy,group default,50,0
EGY,STATE_ALEPPO,building_port,1,law_merchant_navy,group default,50,0
EGY,STATE_CRETE,building_port,1,law_merchant_navy,group default,50,0
EGY,STATE_ERITREA,building_port,1,law_merchant_navy,group default,50,0
EGY,STATE_LOWER_EGYPT,building_naval_administration,15,law_merchant_navy,group default,20,0
EGY,STATE_LOWER_EGYPT,building_port,2,law_merchant_navy,group default,50,0
FIN,STATE_UUSIMAA,building_port,1,law_merchant_navy,group default,50,0
FIN,STATE_WEST_KARELIA,building_port,1,law_merchant_navy,group default,50,0
FRA,STATE_ALGIERS,building_port,1,law_professional_navy,history,20,0
FRA,STATE_AQUITAINE,building_port,1,law_professional_navy,history,20,0
FRA,STATE_BRITTANY,building_naval_administration,40,law_professional_navy,history,60,0
FRA,STATE_BRITTANY,building_port,2,law_professional_navy,history,20,0
FRA,STATE_CONSTANTINE,building_port,1,law_professional_navy,history,20,0
FRA,STATE_CORSICA,building_port,1,law_professional_navy,history,20,0
FRA,STATE_FRENCH_LOW_COUNTRIES,building_port,1,law_professional_navy,history,20,0
FRA,STATE_GUAYANA,building_port,1,law_professional_navy,history,20,0
FRA,STATE_ILE_DE_FRANCE,building_naval_administration,5,law_professional_navy,history,60,0
FRA,STATE_INDIAN_OCEAN_TERRITORY,building_port,1,law_professional_navy,history,20,0
FRA,STATE_IVORY_COAST,building_port,1,law_professional_navy,history,20,0
FRA,STATE_MADRAS,building_port,1,law_professional_navy,history,20,0
FRA,STATE_NORMANDY,building_naval_administration,40,law_professional_navy,history,60,0
FRA,STATE_NORMANDY,building_port,2,law_professional_navy,history,20,0
FRA,STATE_ORAN,building_port,1,law_professional_navy,history,20,0
FRA,STATE_POITOU,building_port,1,law_professional_navy,history,20,0
FRA,STATE_PROVENCE,building_port,2,law_professional_navy,history,20,0
FRA,STATE_SENEGAL,building_port,1,law_professional_navy,history,20,0
FRA,STATE_WEST_INDIES,building_port,1,law_professional_navy,history,20,0
GBR,STATE_BAHAMAS,building_port,1,law_professional_navy,history,20,0
GBR,STATE_BERMUDA,building_port,1,law_professional_navy,history,20,0
GBR,STATE_CEYLON,building_port,1,law_professional_navy,history,20,0
GBR,STATE_EAST_ANGLIA,building_naval_administration,4,law_professional_navy,history,60,0
GBR,STATE_EAST_ANGLIA,building_port,4,law_professional_navy,history,20,0
GBR,STATE_GUATEMALA,building_port,1,law_professional_navy,history,20,0
GBR,STATE_GUAYANA,building_port,1,law_professional_navy,history,20,0
GBR,STATE_HOME_COUNTIES,building_naval_administration,60,law_professional_navy,history,60,0
GBR,STATE_HOME_COUNTIES,building_port,5,law_professional_navy,history,20,0
GBR,STATE_INDIAN_OCEAN_TERRITORY,building_port,1,law_professional_navy,history,20,0
GBR,STATE_JAMAICA,building_port,1,law_professional_navy,history,20,0
GBR,STATE_LANCASHIRE,building_naval_administration,10,law_professional_navy,history,60,0
GBR,STATE_LANCASHIRE,building_port,4,law_professional_navy,history,20,0
GBR,STATE_LEINSTER,building_port,2,law_professional_navy,history,20,0
GBR,STATE_LOWLANDS,building_port,2,law_professional_navy,history,20,0
GBR,STATE_MALAYA,building_port,1,law_professional_navy,history,20,0
GBR,STATE_MALTA,building_port,1,law_professional_navy,history,20,0
GBR,STATE_MIDLANDS,building_naval_administration,10,law_professional_navy,history,60,0
GBR,STATE_MIDLANDS,building_port,2,law_professional_navy,history,20,0
GBR,STATE_MUNSTER,building_port,1,law_professional_navy,history,20,0
GBR,STATE_SOUTH_ATLANTIC_ISLANDS,building_port,1,law_professional_navy,history,20,0
GBR,STATE_ULSTER,building_port,1,law_professional_navy,history,20,0
GBR,STATE_UPPER_ANDALUSIA,building_port,2,law_professional_navy,history,20,0
GBR,STATE_WALES,building_naval_administration,2,law_professional_navy,history,60,0
GBR,STATE_WEST_COUNTRY,building_naval_administration,40,law_professional_navy,history,60,0
GBR,STATE_WEST_COUNTRY,building_port,4,law_professional_navy,history,20,0
GBR,STATE_WEST_INDIES,building_port,1,law_professional_navy,history,20,0
GBR,STATE_YORKSHIRE,building_naval_administration,10,law_professional_navy,history,60,0
GBR,STATE_YORKSHIRE,building_port,2,law_professional_navy,history,20,0
GRE,STATE_ATTICA,building_port,1,law_merchant_navy,group default,50,0
GRE,STATE_PELOPONNESE,building_port,1,law_merchant_navy,group default,50,0
GRE,STATE_WEST_AEGEAN_ISLANDS,building_naval_administration,1,law_merchant_navy,group default,20,0
HAI,STATE_HAITI,building_port,1,law_merchant_navy,group default,50,0
HAI,STATE_SANTO_DOMINGO,building_port,1,law_merchant_navy,group default,50,0
HAM,STATE_ELBE,building_port,1,law_merchant_navy,group default,50,0
HAN,STATE_HANNOVER,building_naval_administration,1,law_merchant_navy,group default,20,0
HAN,STATE_HANNOVER,building_port,1,law_merchant_navy,group default,50,0
HAW,STATE_HAWAIIAN_ISLANDS,building_port,1,law_merchant_navy,group default,50,0
HBC,STATE_MANITOBA,building_port,1,law_merchant_navy,group default,50,0
ION,STATE_IONIAN_ISLANDS,building_port,1,law_merchant_navy,group default,50,0
JAP,STATE_KANTO,building_port,1,law_merchant_navy,group default,50,0
JAP,STATE_KYUSHU,building_port,3,law_merchant_navy,group default,50,0
KOR,STATE_BUSAN,building_port,1,law_merchant_navy,group default,50,0
LAH,STATE_YEMEN,building_port,1,law_merchant_navy,group default,50,0
LAN,STATE_WEST_BORNEO,building_port,1,law_merchant_navy,group default,50,0
LIB,STATE_LIBERIA,building_port,1,law_merchant_navy,group default,50,0
LUB,STATE_SCHLESWIG_HOLSTEIN,building_port,1,law_merchant_navy,group default,50,0
