state_region,total_pop,n_owners,owner_tags
STATE_JIANGXI,24213496,1,CHI
STATE_SOUTHERN_ANHUI,22832408,1,CHI
STATE_EAST_BENGAL,21556674,1,BIC
STATE_AGRA,21126256,2,BIC|GAR
STATE_HENAN,20936384,1,CHI
STATE_CHONGQING,20092808,1,CHI
STATE_SUZHOU,17672008,1,CHI
STATE_WEST_BENGAL,17512663,2,BIC|COO
STATE_FUJIAN,16324832,1,CHI
STATE_SHANDONG,15176000,1,CHI
STATE_BEIJING,15029015,1,CHI
STATE_GUANGXI,14938908,1,CHI
STATE_SHANXI,14840084,1,CHI
STATE_SICHUAN,14003796,1,CHI
STATE_EASTERN_HUBEI,13524896,1,CHI
STATE_BOMBAY,13509260,4,BIC|KHP|POR|SAT
STATE_HUNAN,13399992,1,CHI
STATE_WESTERN_HUBEI,13150000,1,CHI
STATE_GUANGDONG,13010388,2,CHI|POR
STATE_BIHAR,12241311,1,BIC
STATE_NANJING,11132284,1,CHI
STATE_JIANGSU,10993608,1,CHI
STATE_NORTHERN_ANHUI,10662000,1,CHI
STATE_XIAN,9695792,1,CHI
STATE_ZHEJIANG,9473000,1,CHI
STATE_SHAOZHOU,8913992,1,CHI
STATE_MADRAS,8834739,4,BIC|DEN|FRA|PUD
STATE_NINGXIA,8820588,1,CHI
STATE_SOUTHERN_MANCHURIA,8819196,1,CHI
STATE_HYDERABAD,8549837,1,HYD
STATE_AWADH,8506675,2,AWA|BIC
STATE_ZHILI,8503121,1,CHI
STATE_CENTRAL_PROVINCES,6893893,4,BAS|BIC|HYD|NAG
STATE_GANSU,6429641,1,CHI
STATE_YUNNAN,6238388,1,CHI
STATE_PUNJAB,5709538,2,BHW|PAN
STATE_GUJARAT,5390663,10,BER|BHV|BIC|DHA|IDA|JUN|KUT|NAW|PLP|POR
STATE_RAJPUTANA,5298865,10,ALW|BIC|BIK|GWA|IND|JAI|JAS|JOD|KOT|MEW
STATE_KANTO,5004465,1,JAP
STATE_GUIZHOU,4638128,1,CHI
STATE_YANGHO,4552487,1,KOR
STATE_MYSORE,4333983,2,BIC|MYS
STATE_HIMALAYAS,4242426,1,NEP
STATE_TOKAI,4192918,1,JAP
STATE_BOHEMIA,4150412,1,AUS
STATE_KYUSHU,4141707,1,JAP
STATE_HOKUSHINETSU,4138700,1,JAP
STATE_CHUGOKU,4077516,1,JAP
STATE_KANSAI,3986882,1,JAP
STATE_WEST_JAVA,3861212,1,DEI
STATE_PYONGYANG,3612828,1,KOR
STATE_BUSAN,3597837,1,KOR
STATE_DELHI,3421258,3,BIC|MUG|PTA
STATE_ORYOL,3356122,1,RUS
STATE_CIRCARS,3346775,2,BIC|JEY
STATE_KIEV,3313761,1,RUS
STATE_TOHOKU,3157725,1,JAP
STATE_NORTHERN_MANCHURIA,3089604,1,CHI
STATE_YAROSLAVL,3010095,1,RUS
STATE_KHARKOV,2956760,1,RUS
STATE_GONDER,2943513,5,AWS|BGM|GJM|QWR|TGR
STATE_FORMOSA,2901500,1,CHI
STATE_SEOUL,2818978,1,KOR
STATE_HOME_COUNTIES,2805996,1,GBR
STATE_NORMANDY,2685132,1,FRA
STATE_TRAVANCORE,2675454,3,BIC|COC|TRA
STATE_LOWER_EGYPT,2670504,1,EGY
STATE_TAMBOV,2644279,1,RUS
STATE_BRITTANY,2620278,1,FRA
STATE_RHONE,2604767,1,FRA
STATE_GREATER_POLAND,2588291,1,RUS
STATE_MIDLANDS,2580004,1,GBR
STATE_CAMPANIA,2557396,1,SIC
STATE_BUNDELKHAND,2499918,4,BAG|BUN|JHN|SUR
STATE_FLANDERS,2498620,1,BEL
STATE_HILL_PUNJAB,2468805,4,BIC|GAR|PAN|PTA
STATE_PIEDMONT,2463988,1,SAR
STATE_EAST_GALICIA,2448608,1,AUS
STATE_ASSAM,2424586,7,ASM|BIC|KKI|MGH|MNP|NGA|TIP
STATE_ANNAM,2406625,1,DAI
STATE_EAST_HAUSALAND,2405378,1,SOK
STATE_LOMBARDY,2377392,1,AUS
STATE_AMHARA,2373464,8,ANU|BRN|HDY|KFA|OMO|SDM|WLG|WLT
STATE_LANGUEDOC,2373128,1,FRA
STATE_TRANSDANUBIA,2356492,1,HUN
STATE_ULSTER,2351145,1,GBR
STATE_MUNSTER,2348237,1,GBR
STATE_NIGER_DELTA,2346000,1,IBO
STATE_TONKIN,2343544,2,DAI|SCT
STATE_AUVERGNE_LIMOUSIN,2327887,1,FRA
STATE_SHIKOKU,2319419,1,JAP
STATE_SAXONY,2309021,5,COB|MEI|SAX|SCW|WEI
STATE_MALWA,2281362,3,BHO|GWA|IND
STATE_WEST_GALICIA,2280404,2,AUS|KRA
STATE_PASHTUNISTAN,2263428,3,CHT|KAB|PAN
STATE_WALLACHIA,2227865,1,WAL
STATE_NEW_YORK,2221000,1,USA
STATE_CENTRAL_JAVA,2204558,3,DEI|SRK|YOG
STATE_KURSK,2189913,1,RUS
STATE_SHENGJING,2174006,1,CHI
STATE_LANCASHIRE,2152804,1,GBR
STATE_HINGGAN,2135417,1,CHI
STATE_MORAVIA,2098396,1,AUS
STATE_YORKSHIRE,2090592,1,GBR
STATE_EAST_JAVA,2080396,1,DEI
STATE_SLOVAKIA,2046586,1,HUN
STATE_AUSTRIA,2014400,1,AUS
STATE_WEST_COUNTRY,1986400,1,GBR
STATE_SINDH,1960004,1,SIN
STATE_TANGANYIKA,1959396,6,BRD|KRG|MSI|NYM|RWD|SKM
STATE_LEINSTER,1934493,1,GBR
STATE_HESSE,1933119,5,FRM|HEK|HES|NAS|WLD
STATE_LOWER_SILESIA,1919162,1,PRU
STATE_ILE_DE_FRANCE,1882354,1,FRA
STATE_FRANCONIA,1876192,1,BAV
STATE_VENETIA,1857196,1,AUS
STATE_AQUITAINE,1844177,1,FRA
STATE_LHASA,1820000,1,TIB
STATE_MEKONG,1812188,2,DAI|DGR
STATE_CONSTANTINE,1811572,3,AIT|CON|FRA
STATE_MEXICO,1811090,1,MEX
STATE_WURTTEMBERG,1781084,2,HOH|WUR
STATE_SAMARA,1763287,2,KZH|RUS
STATE_POITOU,1748194,1,FRA
STATE_BAVARIA,1742004,1,BAV
STATE_KURNOOL,1741520,2,BIC|KNO
STATE_GUYENNE,1734040,1,FRA
STATE_BANGKOK,1718404,1,SIA
STATE_OROMIA,1692191,4,ARS|HAR|OGD|SHW
STATE_FRENCH_LOW_COUNTRIES,1691071,1,FRA
STATE_KASHMIR,1682256,3,CHT|KAS|LAD
STATE_BENIN,1677788,1,BEN
STATE_WALLONIA,1660177,2,BEL|LUX
STATE_SICILY,1647596,1,SIC
STATE_LOWLANDS,1637600,1,GBR
STATE_TUSCANY,1632396,1,TUS
STATE_BRANDENBURG,1631504,1,PRU
STATE_SUNDA_ISLANDS,1631268,3,BAL|DEI|POR
STATE_SARIWON,1620102,1,KOR
STATE_MAINE_ANJOU,1610194,1,FRA
STATE_NIZHNY_NOVGOROD,1582933,1,RUS
STATE_ANKARA,1579415,1,TUR
STATE_ANHALT,1579400,2,ANH|PRU
STATE_NEW_CASTILE,1578858,1,SPA
STATE_BURGUNDY,1576918,1,FRA
STATE_YORUBA_STATES,1576004,1,OYO
STATE_EAST_ANGLIA,1573208,1,GBR
STATE_POSEN,1568764,1,PRU
STATE_CONGO_ORIENTALE,1561524,5,HMB|LBA|LGA|MNB|ZND
STATE_VOLTA,1539192,2,KNG|MOS
STATE_BEKES,1524492,1,HUN
STATE_VYATKA,1512000,1,RUS
STATE_IRAKAJEMI,1509713,1,PER
STATE_HAUSALAND,1505304,2,BRG|SOK
STATE_PENNSYLVANIA,1500300,1,USA
STATE_GALICIA,1485255,1,SPA
STATE_PICARDY,1478442,1,FRA
STATE_LUZON,1477686,2,PHI|SUL
STATE_UGANDA,1463988,4,ACH|ANK|BNY|BUG
STATE_GREATER_CAUCASUS,1453390,1,RUS
STATE_ALSACE_LORRAINE,1436128,1,FRA
STATE_CHERNIHIV,1424280,1,RUS
STATE_ALGIERS,1413402,2,FRA|MAS
STATE_HANNOVER,1407904,2,HAN|OLD
STATE_CONNAUGHT,1390481,1,GBR
STATE_WESTPHALIA,1380196,3,LIP|PRU|SCM
STATE_ORLEANS,1379493,1,FRA
STATE_KYOTO,1377948,1,JAP
STATE_MOLDAVIA,1358409,1,MOL
STATE_OHIO,1344212,1,USA
STATE_EASTERN_THRACE,1342988,1,TUR
STATE_LAZIO,1339464,1,PAP
STATE_PEGU,1329669,3,BIC|BUR|DEN
STATE_MAZOVIA,1315511,1,RUS
STATE_TUNISIA,1315008,1,TUN
STATE_RHINELAND,1313984,2,BAV|PRU
STATE_ORISSA,1312267,4,BIC|MYB|NAR|PTN
STATE_BADEN,1301400,1,BAD
STATE_TAURIDA,1296141,1,RUS
STATE_KASAI,1296000,2,KBA|LBA
STATE_ZAMBEZIA,1285196,5,GZA|MNC|MSK|MTP|POR
STATE_APULIA,1284392,1,SIC
STATE_SOUTH_CAMEROON,1281242,4,DLA|FNG|POR|SIL
STATE_OLD_CASTILE,1274098,1,SPA
STATE_ALBANIA,1263208,1,TUR
STATE_PROVENCE,1263045,2,FRA|SAR
STATE_CEYLON,1258836,3,BCE|GBR|MLD
STATE_QINGHAI,1248004,1,CHI
STATE_RYAZAN,1243172,1,RUS
STATE_HOLLAND,1239464,1,NET
STATE_MOSCOW,1239301,1,RUS
STATE_TVER,1232108,1,RUS
STATE_EMILIA,1228812,3,LUC|MOD|PAR
STATE_LOWER_ANDALUSIA,1215991,1,SPA
STATE_MALAYA,1212000,5,GBR|JOH|PRK|SEL|SIA
STATE_MOCAMBIQUE,1209124,4,AGC|MRV|POR|TGI
STATE_ENTRE_DOURO_E_MINHO,1203012,1,POR
