strait_id,kind,from_state,from_tag,from_has_fort,to_state,to_tag,to_has_fort,from_owners,to_owners,endpoints
canal_panama,artificial,STATE_PANAMA,CLM,,STATE_PANAMA,CLM,,CLM,CLM,xD0EF40|x910E14
canal_suez,artificial,STATE_SINAI,EGY,,STATE_SINAI,EGY,,EGY,EGY,xC01060|x8ED45E
canal_kiel,artificial,STATE_SCHLESWIG_HOLSTEIN,HOL,,STATE_SCHLESWIG_HOLSTEIN,SCH,,HOL|LUB|SCH,HOL|LUB|SCH,x804160|xBFCC21
strait_gibraltar,natural,STATE_UPPER_ANDALUSIA,GBR,YES,STATE_AL_RIF,SPA,,GBR|SPA,MOR|SPA,xBC6ED3|xA0B0C0
strait_bosporus,natural,STATE_EASTERN_THRACE,TUR,YES,STATE_HUDAVENDIGAR,TUR,,TUR,TUR,xF0A020|x30A060
strait_bab_el_mandeb,natural,STATE_YEMEN,LAH,,STATE_ERITREA,AWS,,HDJ|KAT|LAH|MAH|ZAI,AWS|EGY,x319060|x9E8FDD
strait_oresund,natural,STATE_SCANIA,SWE,YES,STATE_ZEALAND,DEN,YES,SWE,DEN,xC04161|x7F0BF0
strait_malacca,natural,STATE_MALAYA,GBR,,STATE_NORTH_SUMATRA,SAK,,GBR|JOH|PRK|SEL|SIA,DEI|JMB|SAK,xC00130|x48428B
strait_tsugaru,natural,STATE_TOHOKU,JAP,,STATE_HOKKAIDO,JAP,,JAP,EZO|JAP,xE0D080|xA090C0
strait_sunda,natural,STATE_SOUTH_SUMATRA,DEI,,STATE_WEST_JAVA,DEI,YES,DEI,DEI,xDBE794|x6345B2
strait_lombok,natural,STATE_SUNDA_ISLANDS,BAL,,STATE_SUNDA_ISLANDS,BAL,,BAL|DEI|POR,BAL|DEI|POR,x5ABA94|x100090
strait_hormuz,natural,STATE_LARISTAN,OMA,,STATE_ABU_DHABI,OMA,,BHN|OMA|PER,ABU|BHN|OMA,x0170A0|x0DC972
