tag,good
CHI,coal
CHI,lead
CHI,sulfur
CHI,dye
CHI,opium
CHI,tobacco
CHI,fruit
CHI,fabric
CHI,wine
BIC,coal
BIC,lead
BIC,sulfur
BIC,silk
BIC,opium
BIC,coffee
BIC,tobacco
BIC,sugar
BIC,fruit
BIC,wine
TUR,coal
TUR,lead
TUR,sulfur
TUR,silk
TUR,opium
TUR,fruit
TUR,wine
MEX,coal
MEX,lead
MEX,opium
MEX,sugar
MEX,fruit
MEX,wine
KOR,coal
KOR,lead
KOR,sulfur
KOR,opium
KOR,tea
BRZ,coal
BRZ,lead
BRZ,dye
BRZ,tea
BRZ,tobacco
BRZ,fabric
BRZ,wine
PER,coal
PER,lead
PER,sulfur
PER,silk
PER,dye
PER,tea
PER,tobacco
PER,sugar
PER,wine
EGY,coal
EGY,sulfur
EGY,silk
EGY,dye
EGY,opium
EGY,coffee
EGY,sugar
EGY,fruit
EGY,wine
PAN,coal
PAN,lead
PAN,silk
PAN,coffee
PAN,tea
PAN,tobacco
PAN,sugar
PAN,wine
PAN,dye
HUN,coal
HUN,lead
HUN,wine
SIC,coal
SIC,sugar
SAR,coal
SAR,lead
SAR,sulfur
SAR,fish
HYD,coal
HYD,dye
HYD,opium
HYD,tobacco
HYD,sugar
HYD,fruit
GRE,lead
GRE,sulfur
DAI,coal
DAI,dye
DAI,sugar
DAI,fruit
DAI,fabric
NEP,lead
NEP,opium
CLM,coal
CLM,opium
CLM,fruit
CLM,fabric
ARG,lead
ARG,dye
ARG,coffee
ARG,sugar
ARG,fruit
ARG,wine
SIA,coal
SIA,lead
SIA,silk
SIA,dye
SIA,opium
SIA,coffee
SIA,tobacco
SIA,sugar
SIA,fruit
MOR,coal
MOR,lead
MOR,sulfur
MOR,sugar
MOR,fruit
OMA,coal
OMA,silk
OMA,dye
OMA,opium
OMA,tea
OMA,tobacco
OMA,fruit
OMA,wine
PHI,coal
PHI,dye
PHI,tea
PHI,fruit
BAV,coal
BAV,lead
BUR,coal
BUR,lead
BUR,dye
BUR,sugar
BUR,fruit
