tag,good
RUS,coal
RUS,lead
RUS,sulfur
RUS,silk
RUS,tea
RUS,tobacco
RUS,fabric
RUS,wine
USA,lead
USA,sulfur
USA,fish
USA,dye
USA,tobacco
USA,sugar
USA,wine
FRA,coal
FRA,lead
FRA,sulfur
FRA,fish
FRA,silk
FRA,dye
FRA,coffee
FRA,tea
FRA,tobacco
FRA,sugar
GBR,lead
GBR,sulfur
GBR,fish
GBR,silk
GBR,dye
GBR,coffee
GBR,tea
GBR,tobacco
GBR,sugar
GBR,fruit
JAP,coal
JAP,lead
JAP,sulfur
JAP,dye
JAP,opium
JAP,tea
JAP,tobacco
JAP,sugar
JAP,fabric
JAP,wine
PRU,lead
PRU,sulfur
PRU,fish
PRU,wine
PRU,explosives
SPA,coal
SPA,lead
SPA,sulfur
SPA,silk
SPA,dye
SPA,coffee
SPA,tobacco
SPA,sugar
SPA,fruit
AUS,coal
AUS,lead
AUS,sulfur
AUS,fish
AUS,wine
EGY,tea
DEI,coal
DEI,sulfur
DEI,tobacco
POR,coal
POR,lead
POR,sulfur
POR,silk
POR,dye
POR,opium
POR,coffee
POR,tea
POR,tobacco
POR,sugar
NET,coal
NET,fish
NET,dye
NET,coffee
NET,tobacco
NET,fruit
NET,fabric
SOK,coal
SOK,lead
SOK,dye
SOK,tea
SOK,sugar
SWE,lead
OMA,lead
SHW,wine
SAF,coal
SAF,tea
SAF,fruit
SAF,wine
BEL,lead
BEL,sulfur
BEL,fish
BUR,silk
