tag,state,division_pop,building
ACE,STATE_ACEH,354107,government_administration
ACE,STATE_ACEH,354107,trade_center
ALW,STATE_RAJPUTANA,535462,government_administration
ALW,STATE_RAJPUTANA,535462,trade_center
ARB,STATE_KHUZESTAN,458498,government_administration
ARB,STATE_KHUZESTAN,458498,port
ARB,STATE_KHUZESTAN,458498,trade_center
ASH,STATE_GOLD_COAST,584300,government_administration
ASH,STATE_GOLD_COAST,584300,trade_center
ASH,STATE_TOGO,604008,government_administration
ASH,STATE_TOGO,604008,trade_center
ASM,STATE_ASSAM,1212183,trade_center
AUS,STATE_BUKOVINA,372410,government_administration
AUS,STATE_BUKOVINA,372410,trade_center
AUS,STATE_DALMATIA,397800,government_administration
AUS,STATE_DALMATIA,397800,trade_center
AUS,STATE_EAST_GALICIA,2448608,trade_center
AUS,STATE_ISTRIA,680096,government_administration
AUS,STATE_MORAVIA,2098396,trade_center
AUS,STATE_SLOVENIA,485788,government_administration
AUS,STATE_SLOVENIA,485788,trade_center
AUS,STATE_SOUTH_TYROL,491000,government_administration
AUS,STATE_SOUTH_TYROL,491000,trade_center
AUS,STATE_STYRIA,736796,government_administration
AUS,STATE_STYRIA,736796,trade_center
AUS,STATE_TYROL,559304,government_administration
AUS,STATE_TYROL,559304,trade_center
AUS,STATE_WEST_GALICIA,2056004,trade_center
AWA,STATE_AWADH,4824221,trade_center
BAG,STATE_BUNDELKHAND,892879,government_administration
BAG,STATE_BUNDELKHAND,892879,trade_center
BAL,STATE_SUNDA_ISLANDS,837892,government_administration
BAL,STATE_SUNDA_ISLANDS,837892,port
BAL,STATE_SUNDA_ISLANDS,837892,trade_center
BAS,STATE_CENTRAL_PROVINCES,534735,government_administration
BAS,STATE_CENTRAL_PROVINCES,534735,trade_center
BAV,STATE_FRANCONIA,1876192,trade_center
BAV,STATE_RHINELAND,557592,government_administration
BAV,STATE_RHINELAND,557592,trade_center
BCE,STATE_CEYLON,1199900,government_administration
BCE,STATE_CEYLON,1199900,trade_center
BEN,STATE_BENIN,1677788,government_administration
BEN,STATE_BENIN,1677788,port
BEN,STATE_BENIN,1677788,trade_center
BER,STATE_GUJARAT,1118767,trade_center
BGM,STATE_GONDER,750720,government_administration
BGM,STATE_GONDER,750720,trade_center
BIC,STATE_ASSAM,553006,trade_center
BIC,STATE_AWADH,3682454,government_administration
BIC,STATE_AWADH,3682454,trade_center
BIC,STATE_BIHAR,12241311,trade_center
BIC,STATE_BOMBAY,11802465,trade_center
BIC,STATE_CENTRAL_PROVINCES,904738,government_administration
BIC,STATE_CENTRAL_PROVINCES,904738,trade_center
BIC,STATE_DELHI,2888634,trade_center
BIC,STATE_EAST_BENGAL,21556674,trade_center
BIC,STATE_GUJARAT,2587706,trade_center
BIC,STATE_KURNOOL,1374385,government_administration
BIC,STATE_KURNOOL,1374385,trade_center
BIC,STATE_MYSORE,535409,government_administration
BIC,STATE_MYSORE,535409,port
BIC,STATE_MYSORE,535409,trade_center
BIC,STATE_ORISSA,869092,government_administration
BIC,STATE_ORISSA,869092,trade_center
BIC,STATE_TENASSERIM,357696,government_administration
BIC,STATE_TENASSERIM,357696,trade_center
