tag,country,state,building,state_capacity,owned_resource_province
BIC,East India,STATE_BOMBAY,gold,3,XEBD7BE
BRZ,Brazil,STATE_PARANA,whale,2,X8A1D55
BRZ,Brazil,STATE_RIO_DE_JANEIRO,whale,4,XE0E888
BRZ,Brazil,STATE_SANTA_CATARINA,whale,2,X02483B
BUR,Burma,STATE_KACHIN,gold,3,XCD31D0
BUR,Burma,STATE_MANDALAY,gold,2,X2FF9BD
CLM,Colombia,STATE_CAUCA,whale,2,X488A71
CLM,Colombia,STATE_PANAMA,whale,2,XD0EF40
FRA,France,STATE_NORMANDY,whale,5,XA786BB
GBR,Great Britain,STATE_INDIAN_OCEAN_TERRITORY,whale,5,XD0E090
GBR,Great Britain,STATE_NEWFOUNDLAND,whale,6,XD1D79F
GBR,Great Britain,STATE_SOUTH_ATLANTIC_ISLANDS,whale,3,X9EF337
JAP,Japan,STATE_CHUGOKU,whale,3,X715101
JAP,Japan,STATE_HOKKAIDO,whale,8,XA090C0
JAP,Japan,STATE_KANSAI,gold,1,X70D040
JAP,Japan,STATE_KANTO,whale,2,X7010C0
JAP,Japan,STATE_KYUSHU,gold,1,X705080
JAP,Japan,STATE_TOHOKU,gold,2,XF01040
JAP,Japan,STATE_TOHOKU,whale,5,XE0D080
KOR,Korea,STATE_BUSAN,whale,7,XC3F34F
KOR,Korea,STATE_PYONGYANG,gold,5,X880F26
KOR,Korea,STATE_SARIWON,gold,2,X00227F
KOR,Korea,STATE_SEOUL,gold,2,X70EFC0
KOR,Korea,STATE_SEOUL,whale,3,XB05000
KOR,Korea,STATE_YANGHO,whale,2,X8ACAAA
MEX,Mexico,STATE_BAJA_CALIFORNIA,whale,4,X57EBCB
MEX,Mexico,STATE_CALIFORNIA,whale,6,X1116AA
MOR,Morocco,STATE_INNER_MOROCCO,gold,3,XE92045
NET,Netherlands,STATE_FRIESLAND,whale,5,X41C021
PHI,Philippines,STATE_WEST_MICRONESIA,whale,3,XA7F7E3
POR,Portugal,STATE_BEIRA,gold,2,X9238AD
POR,Portugal,STATE_CAPE_VERDE,whale,3,X4B7FA5
POR,Portugal,STATE_ENTRE_DOURO_E_MINHO,gold,2,X37ADD8
POR,Portugal,STATE_NORTH_ANGOLA,whale,4,X6FD2F7
RUS,Russia,STATE_ARKHANGELSK,gold,2,X956021
RUS,Russia,STATE_CHELYABINSK,gold,3,XC158DC
RUS,Russia,STATE_CHUKOTKA,whale,3,XE720A3
RUS,Russia,STATE_GREATER_CAUCASUS,gold,3,X4A4DF9
RUS,Russia,STATE_KAMCHATKA,whale,8,X7D2AB5
RUS,Russia,STATE_OKHOTSK,whale,5,XD77A02
RUS,Russia,STATE_URAL,gold,2,X492819
SAF,South Africa,STATE_CAPE_COLONY,whale,4,X31E050
SPA,Spain,STATE_GALICIA,gold,2,X0EA604
SPA,Spain,STATE_GALICIA,whale,1,XB85939
SPA,Spain,STATE_MURCIA,gold,2,X71158B
USA,United States,STATE_CONNECTICUT,whale,3,X7DE678
USA,United States,STATE_MAINE,whale,4,X1CA7B0
USA,United States,STATE_NEW_HAMPSHIRE,whale,2,X30C040
USA,United States,STATE_NEW_YORK,whale,5,X377E55
USA,United States,STATE_RHODE_ISLAND,whale,2,X939ACE
