tag,country,source,source_key,flavored,building,good,prestige_good,prestige_base,level_hint,input_goods,attribution,file
ARG,Argentina,company,company_compania_sansinena_de_carnes_congeladas,yes,,,river_plate_beef,meat,,,hq,00_companies_mp1.txt
ARG,Argentina,company,company_compania_sansinena_de_carnes_congeladas,yes,food_industry,groceries liquor,,,,fish glass grain iron meat oil sugar tools,hq,00_companies_mp1.txt
ARG,Argentina,company,company_compania_sansinena_de_carnes_congeladas,yes,livestock_ranch,fabric fertilizer meat,,,,coal electricity grain iron tools transportation,hq,00_companies_mp1.txt
ARG,Argentina,company,company_compania_sansinena_de_carnes_congeladas,yes,port,merchant_marine,,,,clippers coal oil steamers,hq,00_companies_mp1.txt
ARG,Argentina,company,company_cordoba_railway,yes,coal_mine,coal,,,,engines explosives oil tools transportation,hq,00_companies_cots.txt
ARG,Argentina,company,company_cordoba_railway,yes,motor_industry,engines,,,,coal electricity oil steel tools,hq,00_companies_cots.txt
ARG,Argentina,company,company_cordoba_railway,yes,railway,transportation,,,,coal electricity engines oil steel wood,hq,00_companies_cots.txt
AUS,Austria,company,company_galician_carpathian_oil,yes,coal_mine,coal,,,,engines explosives oil tools transportation,file+hq,00_companies_austria_hungary.txt
AUS,Austria,company,company_galician_carpathian_oil,yes,oil_rig,oil,,,,coal engines transportation,file+hq,00_companies_austria_hungary.txt
AUS,Austria,company,company_galician_carpathian_oil,yes,power_plant,electricity,,,,coal engines oil wood,file+hq,00_companies_austria_hungary.txt
AUS,Austria,company,company_gebruder_thonet,yes,,,bentwood_furniture,furniture,,,hq,00_companies_mp1.txt
AUS,Austria,company,company_gebruder_thonet,yes,furniture_manufactory,furniture luxury_furniture,,,,coal electricity fabric hardwood oil tools wood,hq,00_companies_mp1.txt
AUS,Austria,company,company_gebruder_thonet,yes,logging_camp,hardwood wood,,,,coal electricity engines oil tools transportation,hq,00_companies_mp1.txt
AUS,Austria,company,company_ludwig_moser_and_sons,yes,,,bohemian_crystal,glass,,,hq,00_companies_mp1.txt
AUS,Austria,company,company_ludwig_moser_and_sons,yes,glassworks,glass porcelain,,,,dye engines lead oil tools wood,hq,00_companies_mp1.txt
AUS,Austria,company,company_ludwig_moser_and_sons,yes,lead_mine,lead,,,,coal engines explosives oil tools transportation,hq,00_companies_mp1.txt
AUS,Austria,company,company_manfred_weiss,yes,,,generic_steel,steel,,,file+hq,00_companies_austria_hungary.txt
AUS,Austria,company,company_manfred_weiss,yes,automotive_industry,aeroplanes automobiles tanks,,,,electricity engines fabric hardwood oil rubber steel tools,file+hq,00_companies_austria_hungary.txt
AUS,Austria,company,company_manfred_weiss,yes,iron_mine,iron,,,,coal engines explosives oil tools transportation,file+hq,00_companies_austria_hungary.txt
AUS,Austria,company,company_manfred_weiss,yes,munition_plant,ammunition,,,,coal electricity explosives lead oil,file+hq,00_companies_austria_hungary.txt
AUS,Austria,company,company_manfred_weiss,yes,steel_mill,steel,,,,coal electricity iron tools,file+hq,00_companies_austria_hungary.txt
AUS,Austria,company,company_mantero_seta,yes,,,como_silk,silk,,,hq,00_companies_mp1.txt
AUS,Austria,company,company_mantero_seta,yes,cotton_plantation,,,,,transportation,hq,00_companies_mp1.txt
AUS,Austria,company,company_mantero_seta,yes,silk_plantation,,,,,transportation,hq,00_companies_mp1.txt
AUS,Austria,company,company_mantero_seta,yes,textile_mill,clothes luxury_clothes,,,,dye electricity fabric rubber silk tools,hq,00_companies_mp1.txt
AUS,Austria,company,company_mav,yes,,,generic_tools,tools,,,file+hq,00_companies_austria_hungary.txt
AUS,Austria,company,company_mav,yes,automotive_industry,aeroplanes automobiles tanks,,,,electricity engines fabric hardwood oil rubber steel tools,file+hq,00_companies_austria_hungary.txt
AUS,Austria,company,company_mav,yes,motor_industry,engines,,,,coal electricity oil steel tools,file+hq,00_companies_austria_hungary.txt
AUS,Austria,company,company_mav,yes,tooling_workshop,tools,,,,coal electricity iron oil rubber steel wood,file+hq,00_companies_austria_hungary.txt
AUS,Austria,company,company_oevg,yes,,,generic_small_arms,small_arms,,,file+hq,00_companies_austria_hungary.txt
AUS,Austria,company,company_oevg,yes,arms_industry,small_arms,,,,coal electricity hardwood iron oil steel tools,file+hq,00_companies_austria_hungary.txt
AUS,Austria,company,company_oevg,yes,artillery_foundry,artillery,,,,coal electricity hardwood iron oil steel tools,file+hq,00_companies_austria_hungary.txt
AUS,Austria,company,company_oevg,yes,electrics_industry,radios telephones,,,,electricity iron lead rubber tools,file+hq,00_companies_austria_hungary.txt
AUS,Austria,company,company_oevg,yes,munition_plant,ammunition,,,,coal electricity explosives lead oil,file+hq,00_companies_austria_hungary.txt
AUS,Austria,company,company_oevg,yes,steel_mill,steel,,,,coal electricity iron tools,file+hq,00_companies_austria_hungary.txt
AUS,Austria,company,company_ricordi,yes,art_academy,fine_art,,,,electricity paper tools,hq,00_companies_italy.txt
AUS,Austria,company,company_ricordi,yes,vineyard,,,,,transportation,hq,00_companies_italy.txt
AUS,Austria,company,company_skoda,yes,,,generic_steel,steel,,,file+hq,00_companies_austria_hungary.txt
AUS,Austria,company,company_skoda,yes,artillery_foundry,artillery,,,,coal electricity hardwood iron oil steel tools,file+hq,00_companies_austria_hungary.txt
AUS,Austria,company,company_skoda,yes,automotive_industry,aeroplanes automobiles tanks,,,,electricity engines fabric hardwood oil rubber steel tools,file+hq,00_companies_austria_hungary.txt
AUS,Austria,company,company_skoda,yes,motor_industry,engines,,,,coal electricity oil steel tools,file+hq,00_companies_austria_hungary.txt
