# MyDiploPlay truce cross-tab (months). Read-only summary of zz_mdp_truces.txt (owned by gen_blob_plan.py, same-region filtered 2026-06-15).
tag,ARG,BIC,BRZ,CLM,DAI,DEI,EGY,MEX,MOR,NEJ,NEP,OMA,PAN,PER,PRU,SAF,SAR,SHW,SIA,SOK,SWE
ARG,,,120,120,,,,120,,,,,,,,,,,,,
BIC,,,,,,,,,,,120,,120,,,,,,,,
BRZ,120,,,120,,,,120,,,,,,,,,,,,,
CLM,120,,120,,,,,120,,,,,,,,,,,,,
DAI,,,,,,120,,,,,,,,,,,,,120,,
DEI,,,,,120,,,,,,,,,,,,,,120,,
EGY,,,,,,,,,120,,,120,,120,,120,,120,,120,
MEX,120,,120,120,,,,,,,,,,,,,,,,,
MOR,,,,,,,120,,,,,,,,,120,,120,,120,
NEJ,,,,,,,,,,,,120,,,,,,,,,
NEP,,120,,,,,,,,,,,120,,,,,,,,
OMA,,,,,,,120,,,120,,,,120,,,,120,,,
PAN,,120,,,,,,,,,120,,,,,,,,,,
PER,,,,,,,120,,,,,120,,,,,,,,,
PRU,,,,,,,,,,,,,,,,,120,,,,120
SAF,,,,,,,120,,120,,,,,,,,,120,,120,
SAR,,,,,,,,,,,,,,,120,,,,,,120
SHW,,,,,,,120,,120,,,120,,,,120,,,,120,
SIA,,,,,120,120,,,,,,,,,,,,,,,
SOK,,,,,,,120,,120,,,,,,,120,,120,,,
SWE,,,,,,,,,,,,,,,120,,120,,,,
