# Top40EcoBoost FINAL champ/support/flavour table v2.,,,,,
# FLAVOUR EXCLUSIONS (all seeded/handled elsewhere, so never a flavour pick):,,,,
#   wood + iron -> Track-B history percentile seeding (gen_ecoboost_starters.py),,,,,
#   grain       -> generic_flavour (+5 staple) ; oil + rubber -> Task-F (gen_oil_rubber_seeding.py, discoverable RGOs not buildable at 1836 start),,,,
#   gold        -> dropped from analysis ; meat -> handled separately,,,,,
# v2 support fixes: rubber removed from DEI support (->tea) and DAI support (->silk) (rubber not start-buildable).,,,,,
# Other rules: support keeps ALL human pass1 picks; fish dropped where not buildable (PAN/SOK/HUN/HYD/NEP/SHW/BAV).,,,,,
# champ N = 2*tier ; each support N = 1*tier ; each flavour = +1 level. Goods space-separated.,,,,,
tag,name,tier,champ,support,flavor
CHI,China,10,tea,fish wood furniture clothes groceries silk,coal lead sulfur dye opium tobacco fruit fabric wine
RUS,Russia,10,wood,grain furniture groceries paper meat fish,coal lead sulfur silk tea tobacco fabric wine
BIC,East India,10,dye,grain fabric meat fish wood tea,coal lead sulfur silk opium coffee tobacco sugar fruit wine
USA,United States,9,meat,steel iron coal fabric tools groceries,lead sulfur fish dye tobacco sugar wine
FRA,France,9,wine,iron small_arms clothes glass fabric groceries,coal lead sulfur fish silk dye coffee tea tobacco sugar
GBR,Great Britain,9,coal,steel engines tools clothes glass furniture,lead sulfur fish silk dye coffee tea tobacco sugar fruit
TUR,Ottomans,9,tobacco,tea grain meat paper fabric fish,coal lead sulfur silk opium fruit wine
JAP,Japan,8,fish,paper groceries furniture glass clothes silk,coal lead sulfur dye opium tea tobacco sugar fabric wine
PRU,Prussia,7,steel,tools iron coal artillery fertilizer engines,lead sulfur fish wine explosives
SPA,Spain,6,furniture,fabric paper groceries clothes wine fish,coal lead sulfur silk dye coffee tobacco sugar fruit
AUS,Austria,6,furniture,glass fabric tools clothes small_arms silk,coal lead sulfur fish wine
MEX,Mexico,6,tobacco,fabric paper groceries dye coffee fish,coal lead opium sugar fruit wine
KOR,Korea,5,wood,tobacco fabric iron fish paper silk,coal lead sulfur opium tea
BRZ,Brazil,5,fruit,groceries furniture wood coffee sugar fish,coal lead dye tea tobacco fabric wine
PER,Persia,5,clothes,opium fish furniture glass fabric wood,coal lead sulfur silk dye tea tobacco sugar wine
EGY,Egypt,5,fabric,meat wood groceries iron fish tobacco,coal sulfur silk dye opium coffee tea sugar fruit wine
PAN,Punjab,5,fabric,grain meat opium tools groceries clothes,coal lead silk coffee tea tobacco sugar wine dye
DEI,Dutch East Indies,5,fruit,dye coffee fish fabric sugar tea,coal sulfur tobacco
HUN,Hungary,4,meat,grain groceries iron steel wood tools,coal lead wine
POR,Portugal,4,fish,wine wood furniture groceries tools iron,coal lead sulfur silk dye opium coffee tea tobacco sugar
SIC,Two Sicilies,4,sulfur,fabric fish wine groceries clothes silk,coal sugar
NET,Netherlands,4,clothes,furniture sugar groceries steel tools glass,coal fish dye coffee tobacco fruit fabric
SOK,Sokoto,4,grain,meat fruit tobacco coffee groceries wood fabric,coal lead dye tea sugar
SAR,Sardinia-Piedmont,4,fabric,tools wine sugar groceries steel silk,coal lead sulfur fish
SWE,Sweden,4,iron,coal fish groceries furniture paper tools,lead
HYD,Hyderabad,3,paper,wood grain iron fabric groceries silk,coal dye opium tobacco sugar fruit
GRE,Greece,3,wine,fabric tobacco tools fish groceries clothes,lead sulfur
DAI,Dai Nam,3,fish,meat wood tea opium coffee silk,coal dye sugar fruit fabric
NEP,Nepal,3,wood,groceries furniture clothes glass grain tea tobacco,lead opium
CLM,Colombia,3,coffee,tobacco sugar iron groceries fish dye,coal opium fruit fabric
ARG,Argentina,3,meat,tobacco tools fabric paper groceries fish,lead dye coffee sugar fruit wine
SIA,Siam,2,fish,tea wood fabric grain groceries furniture,coal lead silk dye opium coffee tobacco sugar fruit
MOR,Morocco,2,fabric,meat tools grain fish groceries wine,coal lead sulfur sugar fruit
OMA,Oman,2,coffee,fish grain clothes furniture fabric sugar,coal lead silk dye opium tea tobacco fruit wine
SHW,Shewa,2,coffee,tobacco grain fabric sugar tea dye,wine
SAF,South Africa,2,meat,wood fish furniture clothes grain fabric,coal tea fruit wine
PHI,Philippines,2,sugar,tobacco grain fish coffee fabric groceries,coal dye tea fruit
BEL,Belgium,2,steel,tools explosives engines iron coal glass,lead sulfur fish
BAV,Bavaria,2,wine,fertilizer paper tools furniture groceries grain,coal lead
BUR,Burma,2,tea,opium tobacco wood fabric grain fish,coal lead silk dye sugar fruit
# =============================================================================,,,,,
# OLD hand-coded lock-in for PAN/PRU (SUPERSEDED - kept for your comparison only; NOT processed).,,,,,
# Format: tag,name,tier,champ,support,flavor  (commented so the generator skips them)
# PAN,Punjab (OLD hand lockin),5,fabric,opium sugar tea clothes,artillery paper coffee tools iron wood
# PRU,Prussia (OLD hand lockin),7,steel,explosives fertilizer engines,(none)
# =============================================================================,,,,,
