tag,tier,building,kind,n_pulse_quarter,n_target
CHI,10,building_tea_plantation,champ,5,20
CHI,10,building_fishing_wharf,support,2,2
CHI,10,building_logging_camp,support,2,2
CHI,10,building_furniture_manufactory,support,2,2
CHI,10,building_textile_mill,support,2,2
CHI,10,building_food_industry,support,2,2
CHI,10,building_silk_plantation,support,2,2
RUS,10,building_logging_camp,champ,5,20
RUS,10,building_wheat_farm,support,2,2
RUS,10,building_furniture_manufactory,support,2,2
RUS,10,building_food_industry,support,2,2
RUS,10,building_paper_mill,support,2,2
RUS,10,building_livestock_ranch,support,2,2
RUS,10,building_fishing_wharf,support,2,2
BIC,10,building_dye_plantation,champ,5,20
BIC,10,building_wheat_farm,support,2,2
BIC,10,building_cotton_plantation,support,2,2
BIC,10,building_livestock_ranch,support,2,2
BIC,10,building_fishing_wharf,support,2,2
BIC,10,building_logging_camp,support,2,2
BIC,10,building_tea_plantation,support,2,2
USA,9,building_livestock_ranch,champ,4,18
USA,9,building_steel_mill,support,2,2
USA,9,building_iron_mine,support,2,2
USA,9,building_coal_mine,support,2,2
USA,9,building_cotton_plantation,support,2,2
USA,9,building_tooling_workshop,support,2,2
USA,9,building_food_industry,support,2,2
FRA,9,building_vineyard,champ,4,18
FRA,9,building_iron_mine,support,2,2
FRA,9,building_arms_industry,support,2,2
FRA,9,building_textile_mill,support,2,2
FRA,9,building_glassworks,support,2,2
FRA,9,building_cotton_plantation,support,2,2
FRA,9,building_food_industry,support,2,2
GBR,9,building_coal_mine,champ,4,18
GBR,9,building_steel_mill,support,2,2
GBR,9,building_motor_industry,support,2,2
GBR,9,building_tooling_workshop,support,2,2
GBR,9,building_textile_mill,support,2,2
GBR,9,building_glassworks,support,2,2
GBR,9,building_furniture_manufactory,support,2,2
TUR,9,building_tobacco_plantation,champ,4,18
TUR,9,building_tea_plantation,support,2,2
TUR,9,building_wheat_farm,support,2,2
TUR,9,building_livestock_ranch,support,2,2
TUR,9,building_paper_mill,support,2,2
TUR,9,building_cotton_plantation,support,2,2
TUR,9,building_fishing_wharf,support,2,2
JAP,8,building_fishing_wharf,champ,4,16
JAP,8,building_paper_mill,support,2,2
JAP,8,building_food_industry,support,2,2
JAP,8,building_furniture_manufactory,support,2,2
JAP,8,building_glassworks,support,2,2
JAP,8,building_textile_mill,support,2,2
JAP,8,building_silk_plantation,support,2,2
PRU,7,building_steel_mill,champ,3,14
PRU,7,building_tooling_workshop,support,1,1
PRU,7,building_iron_mine,support,1,1
PRU,7,building_coal_mine,support,1,1
PRU,7,building_artillery_foundry,support,1,1
PRU,7,building_chemical_plant,support,1,1
PRU,7,building_motor_industry,support,1,1
SPA,6,building_furniture_manufactory,champ,3,12
SPA,6,building_cotton_plantation,support,1,1
SPA,6,building_paper_mill,support,1,1
SPA,6,building_food_industry,support,1,1
SPA,6,building_textile_mill,support,1,1
SPA,6,building_vineyard,support,1,1
SPA,6,building_fishing_wharf,support,1,1
AUS,6,building_furniture_manufactory,champ,3,12
AUS,6,building_glassworks,support,1,1
AUS,6,building_cotton_plantation,support,1,1
AUS,6,building_tooling_workshop,support,1,1
AUS,6,building_textile_mill,support,1,1
AUS,6,building_arms_industry,support,1,1
AUS,6,building_silk_plantation,support,1,1
MEX,6,building_tobacco_plantation,champ,3,12
MEX,6,building_cotton_plantation,support,1,1
MEX,6,building_paper_mill,support,1,1
MEX,6,building_food_industry,support,1,1
MEX,6,building_dye_plantation,support,1,1
MEX,6,building_coffee_plantation,support,1,1
MEX,6,building_fishing_wharf,support,1,1
KOR,5,building_logging_camp,champ,2,10
KOR,5,building_tobacco_plantation,support,1,1
KOR,5,building_cotton_plantation,support,1,1
KOR,5,building_iron_mine,support,1,1
KOR,5,building_fishing_wharf,support,1,1
KOR,5,building_paper_mill,support,1,1
KOR,5,building_silk_plantation,support,1,1
BRZ,5,building_banana_plantation,champ,2,10
BRZ,5,building_food_industry,support,1,1
BRZ,5,building_furniture_manufactory,support,1,1
BRZ,5,building_logging_camp,support,1,1
BRZ,5,building_coffee_plantation,support,1,1
BRZ,5,building_sugar_plantation,support,1,1
BRZ,5,building_fishing_wharf,support,1,1
PER,5,building_textile_mill,champ,2,10
PER,5,building_opium_plantation,support,1,1
PER,5,building_fishing_wharf,support,1,1
PER,5,building_furniture_manufactory,support,1,1
PER,5,building_glassworks,support,1,1
PER,5,building_cotton_plantation,support,1,1
PER,5,building_logging_camp,support,1,1
EGY,5,building_cotton_plantation,champ,2,10
EGY,5,building_livestock_ranch,support,1,1
EGY,5,building_logging_camp,support,1,1
EGY,5,building_food_industry,support,1,1
EGY,5,building_iron_mine,support,1,1
EGY,5,building_fishing_wharf,support,1,1
EGY,5,building_tobacco_plantation,support,1,1
PAN,5,building_cotton_plantation,champ,2,10
PAN,5,building_wheat_farm,support,1,1
PAN,5,building_livestock_ranch,support,1,1
PAN,5,building_opium_plantation,support,1,1
PAN,5,building_tooling_workshop,support,1,1
PAN,5,building_food_industry,support,1,1
PAN,5,building_textile_mill,support,1,1
DEI,5,building_banana_plantation,champ,2,10
DEI,5,building_dye_plantation,support,1,1
DEI,5,building_coffee_plantation,support,1,1
