tag,country,staple_clothes_produced,staple_electricity_produced,staple_fabric_produced,staple_fish_produced,staple_furniture_produced,staple_grain_produced,staple_groceries_produced,staple_merchant_marine_produced,staple_paper_produced,staple_services_produced,staple_transportation_produced,staple_wood_produced,industrial_clippers_produced,industrial_coal_produced,industrial_dye_produced,industrial_engines_produced,industrial_explosives_produced,industrial_fertilizer_produced,industrial_glass_produced,industrial_hardwood_produced,industrial_iron_produced,industrial_lead_produced,industrial_oil_produced,industrial_rubber_produced,industrial_silk_produced,industrial_steamers_produced,industrial_steel_produced,industrial_sulfur_produced,industrial_tools_produced,industrial_clippers_consumed,industrial_coal_consumed,industrial_dye_consumed,industrial_engines_consumed,industrial_explosives_consumed,industrial_fertilizer_consumed,industrial_glass_consumed,industrial_hardwood_consumed,industrial_iron_consumed,industrial_lead_consumed,industrial_oil_consumed,industrial_rubber_consumed,industrial_silk_consumed,industrial_steamers_consumed,industrial_steel_consumed,industrial_sulfur_consumed,industrial_tools_consumed,staple_gaps,industrial_input_gaps
CHI,China,720.0,0.0,155.0,675.0,1800.0,3420.0,0.0,0.0,2320.0,0.0,0.0,1500.0,120.0,0.0,0.0,0.0,0.0,0.0,1500.0,0.0,140.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,120.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40.0,65.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,35.0,"electricity,groceries,merchant_marine,services,transportation",hardwood
BIC,East India,1350.0,0.0,0.0,275.0,135.0,0.0,0.0,0.0,160.0,0.0,0.0,630.0,200.0,50.0,0.0,0.0,0.0,0.0,90.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,120.0,125.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,45.0,"electricity,fabric,grain,groceries,merchant_marine,services,transportation","hardwood,tools"
RUS,Russia,585.0,0.0,190.0,150.0,585.0,3595.0,540.0,0.0,560.0,0.0,0.0,3600.0,320.0,0.0,0.0,0.0,0.0,0.0,90.0,0.0,400.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,360.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,120.0,160.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,"electricity,merchant_marine,services,transportation",hardwood
FRA,France,1305.0,0.0,130.0,400.0,855.0,1900.0,405.0,0.0,840.0,0.0,40.0,960.0,400.0,325.0,0.0,0.0,50.0,0.0,180.0,0.0,120.0,60.0,0.0,0.0,0.0,0.0,130.0,80.0,240.0,0.0,64.0,0.0,10.0,60.0,20.0,0.0,120.0,235.0,60.0,0.0,0.0,0.0,0.0,0.0,20.0,130.0,"electricity,merchant_marine,services","engines,fertilizer,hardwood"
JAP,Japan,180.0,0.0,10.0,250.0,180.0,700.0,225.0,0.0,200.0,0.0,0.0,420.0,40.0,0.0,0.0,0.0,0.0,0.0,120.0,0.0,0.0,40.0,10.0,0.0,0.0,0.0,0.0,0.0,30.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0,"electricity,merchant_marine,services,transportation",
GBR,Great Britain,2565.0,0.0,135.0,475.0,1575.0,1400.0,540.0,0.0,400.0,0.0,260.0,300.0,680.0,1475.0,0.0,120.0,50.0,180.0,210.0,0.0,240.0,60.0,20.0,0.0,0.0,0.0,520.0,0.0,630.0,0.0,266.0,0.0,65.0,40.0,20.0,0.0,90.0,495.0,40.0,0.0,0.0,0.0,0.0,90.0,80.0,370.0,"electricity,merchant_marine,services","hardwood,sulfur"
AUS,Austria,720.0,0.0,60.0,275.0,225.0,700.0,360.0,0.0,400.0,0.0,0.0,300.0,80.0,100.0,0.0,0.0,0.0,0.0,240.0,0.0,100.0,60.0,0.0,0.0,0.0,0.0,0.0,0.0,150.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,90.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,95.0,"electricity,merchant_marine,services,transportation",hardwood
TUR,Ottomans,450.0,0.0,65.0,625.0,315.0,685.0,45.0,0.0,240.0,0.0,0.0,570.0,160.0,0.0,0.0,0.0,0.0,0.0,120.0,0.0,120.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,60.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30.0,45.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30.0,"electricity,merchant_marine,services,transportation",hardwood
KOR,Korea,0.0,0.0,15.0,150.0,0.0,280.0,0.0,0.0,0.0,0.0,0.0,0.0,40.0,0.0,0.0,0.0,0.0,0.0,210.0,0.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,"clothes,electricity,furniture,groceries,merchant_marine,paper,services,transportation,wood",tools
USA,United States,450.0,0.0,95.0,350.0,405.0,1380.0,315.0,0.0,200.0,0.0,0.0,630.0,240.0,350.0,0.0,40.0,50.0,180.0,150.0,0.0,200.0,60.0,10.0,0.0,0.0,0.0,130.0,80.0,210.0,0.0,60.0,0.0,0.0,20.0,20.0,0.0,50.0,175.0,20.0,0.0,0.0,0.0,0.0,30.0,80.0,155.0,"electricity,merchant_marine,services,transportation",hardwood
PRU,Prussia,585.0,0.0,50.0,100.0,360.0,700.0,225.0,0.0,160.0,0.0,0.0,420.0,40.0,325.0,0.0,0.0,50.0,180.0,90.0,0.0,240.0,80.0,0.0,0.0,0.0,0.0,195.0,60.0,330.0,0.0,90.0,0.0,0.0,40.0,20.0,0.0,100.0,250.0,40.0,0.0,0.0,0.0,0.0,0.0,80.0,160.0,"electricity,merchant_marine,services,transportation",hardwood
SPA,Spain,180.0,0.0,120.0,250.0,90.0,565.0,90.0,0.0,320.0,0.0,0.0,510.0,200.0,25.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,40.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,"electricity,merchant_marine,services,transportation","hardwood,iron,tools"
HYD,Hyderabad,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"clothes,electricity,fabric,fish,furniture,grain,groceries,merchant_marine,services,transportation,wood","hardwood,iron"
DEI,Dutch East Indies,0.0,0.0,0.0,0.0,0.0,1120.0,0.0,0.0,0.0,0.0,0.0,210.0,40.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"clothes,electricity,fabric,fish,furniture,groceries,merchant_marine,paper,services,transportation",iron
HUN,Hungary,0.0,0.0,75.0,0.0,90.0,260.0,180.0,0.0,0.0,0.0,0.0,90.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,60.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0,"clothes,electricity,fish,merchant_marine,paper,services,transportation",tools
EGY,Egypt,180.0,0.0,40.0,275.0,0.0,400.0,0.0,0.0,120.0,0.0,0.0,120.0,80.0,0.0,0.0,0.0,0.0,0.0,60.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,25.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"electricity,furniture,groceries,merchant_marine,services,transportation","hardwood,iron"
PAN,Punjab,135.0,0.0,25.0,0.0,90.0,100.0,0.0,0.0,0.0,0.0,0.0,60.0,0.0,0.0,0.0,0.0,0.0,0.0,60.0,0.0,40.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,"electricity,fish,groceries,merchant_marine,paper,services,transportation",hardwood
SIC,Two Sicilies,135.0,0.0,70.0,275.0,45.0,540.0,45.0,0.0,40.0,0.0,0.0,150.0,80.0,0.0,0.0,0.0,0.0,0.0,30.0,0.0,40.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,90.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,35.0,"electricity,merchant_marine,services,transportation",hardwood
MEX,Mexico,135.0,0.0,20.0,125.0,90.0,160.0,45.0,0.0,0.0,0.0,0.0,120.0,0.0,0.0,0.0,0.0,0.0,0.0,30.0,0.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,"electricity,merchant_marine,paper,services,transportation",
PER,Persia,135.0,0.0,15.0,25.0,90.0,390.0,0.0,0.0,0.0,0.0,0.0,90.0,0.0,0.0,0.0,0.0,0.0,0.0,30.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"electricity,groceries,merchant_marine,paper,services,transportation",
DAI,Dai Nam,0.0,0.0,15.0,50.0,0.0,70.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"clothes,electricity,furniture,groceries,merchant_marine,paper,services,transportation,wood",
POR,Portugal,90.0,0.0,30.0,250.0,0.0,385.0,0.0,0.0,40.0,0.0,0.0,150.0,80.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"electricity,furniture,groceries,merchant_marine,services,transportation",iron
SOK,Sokoto,45.0,0.0,30.0,0.0,0.0,140.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"electricity,fish,furniture,groceries,merchant_marine,paper,services,transportation,wood",
NEP,Nepal,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"clothes,electricity,fabric,fish,furniture,grain,groceries,merchant_marine,paper,services,transportation,wood",
BAV,Bavaria,45.0,0.0,20.0,0.0,135.0,380.0,135.0,0.0,0.0,0.0,20.0,180.0,0.0,0.0,0.0,0.0,0.0,0.0,30.0,0.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,"electricity,fish,merchant_marine,paper,services","coal,engines,tools"
BEL,Belgium,180.0,0.0,25.0,25.0,135.0,260.0,90.0,0.0,40.0,0.0,40.0,210.0,40.0,125.0,0.0,0.0,50.0,180.0,0.0,0.0,120.0,0.0,0.0,0.0,0.0,0.0,130.0,40.0,90.0,0.0,64.0,0.0,10.0,0.0,20.0,0.0,10.0,110.0,0.0,0.0,0.0,0.0,0.0,0.0,80.0,65.0,"electricity,merchant_marine,services","engines,hardwood"
BRZ,Brazil,180.0,0.0,15.0,150.0,45.0,730.0,0.0,0.0,160.0,0.0,0.0,540.0,80.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,60.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,"electricity,groceries,merchant_marine,services,transportation",hardwood
