tag,country,good,category,produced,consumed,net
ARG,Argentina,clippers,industrial,40.0,6.0,34.0
ARG,Argentina,clothes,staple,45.0,0.0,45.0
ARG,Argentina,fabric,staple,20.0,70.0,-50.0
ARG,Argentina,fish,staple,25.0,0.0,25.0
ARG,Argentina,furniture,staple,45.0,0.0,45.0
ARG,Argentina,gold,luxury,16.0,0.0,16.0
ARG,Argentina,grain,staple,60.0,0.0,60.0
ARG,Argentina,meat,luxury,40.0,0.0,40.0
ARG,Argentina,merchant_marine,staple,9.0,4.0,5.0
ARG,Argentina,paper,staple,0.0,20.0,-20.0
ARG,Argentina,tobacco,luxury,90.0,0.0,90.0
ARG,Argentina,tools,industrial,30.0,26.0,4.0
ARG,Argentina,wood,staple,120.0,100.0,20.0
AUS,Austria,artillery,military,50.0,0.0,50.0
AUS,Austria,clippers,industrial,80.0,54.0,26.0
AUS,Austria,clothes,staple,720.0,0.0,720.0
AUS,Austria,coal,industrial,160.0,80.0,80.0
AUS,Austria,dye,industrial,0.0,25.0,-25.0
AUS,Austria,fabric,staple,60.0,905.0,-845.0
AUS,Austria,fine_art,luxury,5.0,0.0,5.0
AUS,Austria,fish,staple,275.0,0.0,275.0
AUS,Austria,fruit,luxury,175.0,0.0,175.0
AUS,Austria,furniture,staple,325.0,0.0,325.0
AUS,Austria,glass,industrial,270.0,0.0,270.0
AUS,Austria,gold,luxury,91.0,0.0,91.0
AUS,Austria,grain,staple,700.0,320.0,380.0
AUS,Austria,groceries,staple,360.0,0.0,360.0
AUS,Austria,hardwood,industrial,100.0,165.0,-65.0
AUS,Austria,iron,industrial,140.0,200.0,-60.0
AUS,Austria,lead,industrial,80.0,30.0,50.0
AUS,Austria,liquor,luxury,560.0,0.0,560.0
AUS,Austria,luxury_clothes,luxury,240.0,0.0,240.0
AUS,Austria,luxury_furniture,luxury,125.0,0.0,125.0
AUS,Austria,meat,luxury,120.0,0.0,120.0
AUS,Austria,merchant_marine,staple,81.0,44.0,37.0
AUS,Austria,paper,staple,400.0,370.0,30.0
AUS,Austria,porcelain,luxury,50.0,0.0,50.0
AUS,Austria,silk,industrial,75.0,120.0,-45.0
AUS,Austria,small_arms,military,210.0,0.0,210.0
AUS,Austria,sugar,luxury,33.0,200.0,-167.0
AUS,Austria,tools,industrial,300.0,230.0,70.0
AUS,Austria,wine,luxury,180.0,0.0,180.0
AUS,Austria,wood,staple,600.0,1415.0,-815.0
BAV,Bavaria,clothes,staple,45.0,0.0,45.0
BAV,Bavaria,coal,industrial,0.0,2.0,-2.0
BAV,Bavaria,dye,industrial,0.0,5.0,-5.0
BAV,Bavaria,engines,industrial,0.0,5.0,-5.0
BAV,Bavaria,fabric,staple,20.0,95.0,-75.0
BAV,Bavaria,fertilizer,industrial,0.0,95.0,-95.0
BAV,Bavaria,fine_art,luxury,5.0,0.0,5.0
BAV,Bavaria,furniture,staple,195.0,0.0,195.0
BAV,Bavaria,glass,industrial,30.0,0.0,30.0
BAV,Bavaria,grain,staple,570.0,120.0,450.0
BAV,Bavaria,groceries,staple,135.0,0.0,135.0
BAV,Bavaria,hardwood,industrial,60.0,45.0,15.0
BAV,Bavaria,iron,industrial,20.0,0.0,20.0
BAV,Bavaria,liquor,luxury,180.0,0.0,180.0
BAV,Bavaria,luxury_furniture,luxury,75.0,0.0,75.0
BAV,Bavaria,meat,luxury,40.0,0.0,40.0
BAV,Bavaria,merchant_marine,staple,0.0,4.0,-4.0
BAV,Bavaria,paper,staple,0.0,80.0,-80.0
BAV,Bavaria,porcelain,luxury,10.0,0.0,10.0
BAV,Bavaria,sugar,luxury,0.0,75.0,-75.0
BAV,Bavaria,tools,industrial,0.0,50.0,-50.0
BAV,Bavaria,transportation,staple,30.0,0.0,30.0
BAV,Bavaria,wine,luxury,40.0,0.0,40.0
BAV,Bavaria,wood,staple,360.0,203.0,157.0
BEL,Belgium,clippers,industrial,40.0,23.0,17.0
BEL,Belgium,clothes,staple,240.0,0.0,240.0
BEL,Belgium,coal,industrial,200.0,144.0,56.0
BEL,Belgium,dye,industrial,0.0,20.0,-20.0
BEL,Belgium,engines,industrial,0.0,10.0,-10.0
BEL,Belgium,explosives,industrial,50.0,0.0,50.0
BEL,Belgium,fabric,staple,75.0,250.0,-175.0
BEL,Belgium,fertilizer,industrial,192.5,85.0,107.5
BEL,Belgium,fish,staple,50.0,0.0,50.0
BEL,Belgium,fruit,luxury,42.0,0.0,42.0
BEL,Belgium,furniture,staple,195.0,0.0,195.0
BEL,Belgium,grain,staple,390.0,130.0,260.0
BEL,Belgium,groceries,staple,130.0,0.0,130.0
BEL,Belgium,hardwood,industrial,70.0,55.0,15.0
BEL,Belgium,iron,industrial,240.0,210.0,30.0
