tag,country,state,building,building_group,category,levels
ARG,Argentina,BUENOS_AIRES,government_administration,bureaucracy,development,2
ARG,Argentina,BUENOS_AIRES,fishing_wharf,fishing,fishing,1
ARG,Argentina,BUENOS_AIRES,livestock_ranch,ranching,agriculture,1
ARG,Argentina,BUENOS_AIRES,naval_administration,naval_administration,development,1
ARG,Argentina,BUENOS_AIRES,port,private_infrastructure,development,1
ARG,Argentina,BUENOS_AIRES,shipyard,ship_construction,light_industry,1
ARG,Argentina,BUENOS_AIRES,tooling_workshop,light_industry,light_industry,1
ARG,Argentina,BUENOS_AIRES,trade_center,trade,trade,1
ARG,Argentina,CORRIENTES,tobacco_plantation,plantations,plantation,3
ARG,Argentina,CORRIENTES,livestock_ranch,ranching,agriculture,1
ARG,Argentina,CORRIENTES,maize_farm,staple_crops,agriculture,1
ARG,Argentina,JUJUY,gold_mine,mining,mine,1
ARG,Argentina,LA_PAMPA,wheat_farm,staple_crops,agriculture,2
ARG,Argentina,LA_PAMPA,government_administration,bureaucracy,development,1
ARG,Argentina,LA_PAMPA,livestock_ranch,ranching,agriculture,1
ARG,Argentina,LA_PAMPA,textile_mill,light_industry,light_industry,1
ARG,Argentina,SANTA_FE,logging_camp,logging,forestry,2
ARG,Argentina,SANTA_FE,furniture_manufactory,light_industry,light_industry,1
ARG,Argentina,SANTA_FE,livestock_ranch,ranching,agriculture,1
ARG,Argentina,TUCUMAN,gold_mine,mining,mine,1
AUS,Austria,AUSTRIA,government_administration,bureaucracy,development,10
AUS,Austria,AUSTRIA,wheat_farm,staple_crops,agriculture,10
AUS,Austria,AUSTRIA,furniture_manufactory,light_industry,light_industry,5
AUS,Austria,AUSTRIA,paper_mill,light_industry,light_industry,5
AUS,Austria,AUSTRIA,trade_center,trade,trade,4
AUS,Austria,AUSTRIA,livestock_ranch,ranching,agriculture,3
AUS,Austria,AUSTRIA,construction_sector,construction,development,2
AUS,Austria,AUSTRIA,university,technology,development,2
AUS,Austria,AUSTRIA,art_academy,arts,development,1
AUS,Austria,BOHEMIA,government_administration,bureaucracy,development,9
AUS,Austria,BOHEMIA,rye_farm,staple_crops,agriculture,6
AUS,Austria,BOHEMIA,food_industry,light_industry,light_industry,5
AUS,Austria,BOHEMIA,gold_mine,mining,mine,5
AUS,Austria,BOHEMIA,glassworks,light_industry,light_industry,3
AUS,Austria,BOHEMIA,logging_camp,logging,forestry,3
AUS,Austria,BOHEMIA,arms_industry,military_industry,heavy_industry,2
AUS,Austria,BOHEMIA,coal_mine,mining,mine,2
AUS,Austria,BOHEMIA,construction_sector,construction,development,2
AUS,Austria,BOHEMIA,tooling_workshop,light_industry,light_industry,2
AUS,Austria,BOHEMIA,trade_center,trade,trade,2
AUS,Austria,BOHEMIA,university,technology,development,2
AUS,Austria,BOHEMIA,iron_mine,mining,mine,1
AUS,Austria,BOHEMIA,lead_mine,mining,mine,1
AUS,Austria,BUKOVINA,livestock_ranch,ranching,agriculture,2
AUS,Austria,BUKOVINA,logging_camp,logging,forestry,2
AUS,Austria,BUKOVINA,wheat_farm,staple_crops,agriculture,1
AUS,Austria,DALMATIA,fishing_wharf,fishing,fishing,3
AUS,Austria,DALMATIA,port,private_infrastructure,development,1
