tag,country,state,pop
ARG,Argentina,STATE_BUENOS_AIRES,242600
ARG,Argentina,STATE_LA_PAMPA,176000
ARG,Argentina,STATE_CORRIENTES,156192
ARG,Argentina,STATE_SANTA_FE,96008
ARG,Argentina,STATE_TUCUMAN,79008
ARG,Argentina,STATE_CHACO,37504
ARG,Argentina,STATE_JUJUY,13404
ARG,Argentina,STATE_RIO_NEGRO,13096
AUS,Austria,STATE_BOHEMIA,4150412
AUS,Austria,STATE_EAST_GALICIA,2448608
AUS,Austria,STATE_LOMBARDY,2377392
AUS,Austria,STATE_MORAVIA,2098396
AUS,Austria,STATE_WEST_GALICIA,2056004
AUS,Austria,STATE_AUSTRIA,2014400
AUS,Austria,STATE_VENETIA,1857196
AUS,Austria,STATE_STYRIA,736796
AUS,Austria,STATE_ISTRIA,680096
AUS,Austria,STATE_TYROL,559304
AUS,Austria,STATE_SOUTH_TYROL,491000
AUS,Austria,STATE_SLOVENIA,485788
AUS,Austria,STATE_DALMATIA,397800
AUS,Austria,STATE_BUKOVINA,372410
AUS,Austria,STATE_MONTENEGRO,22728
BAV,Bavaria,STATE_FRANCONIA,1876192
BAV,Bavaria,STATE_BAVARIA,1742004
BAV,Bavaria,STATE_RHINELAND,557592
BEL,Belgium,STATE_FLANDERS,2498620
BEL,Belgium,STATE_WALLONIA,1483407
BEL,Belgium,STATE_GELRE,165441
BIC,East India,STATE_EAST_BENGAL,21556674
BIC,East India,STATE_AGRA,20933434
BIC,East India,STATE_WEST_BENGAL,17269275
BIC,East India,STATE_BIHAR,12241311
BIC,East India,STATE_BOMBAY,11802465
BIC,East India,STATE_MADRAS,8328149
BIC,East India,STATE_AWADH,3682454
BIC,East India,STATE_CIRCARS,3102255
BIC,East India,STATE_DELHI,2888634
BIC,East India,STATE_GUJARAT,2587706
BIC,East India,STATE_KURNOOL,1374385
BIC,East India,STATE_TRAVANCORE,1089970
BIC,East India,STATE_CENTRAL_PROVINCES,904738
