tag,country,n_states,unused_plantations,unused_farms,unused_capped,unused_discoverable
ARG,Argentina,8,banana_plantation coffee_plantation cotton_plantation dye_plantation sugar_plantation tobacco_plantation vineyard,livestock_ranch maize_farm wheat_farm,coal_mine fishing_wharf iron_mine lead_mine logging_camp sulfur_mine,oil_rig
AUS,Austria,15,cotton_plantation silk_plantation vineyard,livestock_ranch wheat_farm,coal_mine fishing_wharf iron_mine lead_mine logging_camp sulfur_mine,oil_rig
BAV,Bavaria,3,vineyard,,coal_mine iron_mine lead_mine logging_camp,
BEL,Belgium,3,,livestock_ranch rye_farm,coal_mine lead_mine logging_camp,
BRZ,Brazil,14,banana_plantation coffee_plantation cotton_plantation dye_plantation sugar_plantation tea_plantation tobacco_plantation vineyard,livestock_ranch,coal_mine fishing_wharf iron_mine lead_mine logging_camp whaling_station,gold_field oil_rig rubber_plantation
BUR,Burma,4,banana_plantation cotton_plantation dye_plantation opium_plantation silk_plantation sugar_plantation tea_plantation,livestock_ranch rice_farm,coal_mine gold_mine iron_mine lead_mine logging_camp,oil_rig rubber_plantation
CHI,China,43,banana_plantation cotton_plantation opium_plantation silk_plantation tea_plantation tobacco_plantation vineyard,livestock_ranch rice_farm rye_farm wheat_farm,coal_mine fishing_wharf iron_mine lead_mine logging_camp sulfur_mine,gold_field oil_rig
CLM,Colombia,6,banana_plantation coffee_plantation cotton_plantation dye_plantation opium_plantation sugar_plantation tobacco_plantation,livestock_ranch maize_farm,coal_mine fishing_wharf iron_mine logging_camp whaling_station,oil_rig rubber_plantation
DAI,Dai Nam,4,banana_plantation coffee_plantation cotton_plantation dye_plantation opium_plantation silk_plantation sugar_plantation tea_plantation tobacco_plantation,livestock_ranch rice_farm,coal_mine fishing_wharf iron_mine logging_camp,rubber_plantation
DEI,Dutch East Indies,11,banana_plantation coffee_plantation cotton_plantation dye_plantation sugar_plantation tea_plantation tobacco_plantation,livestock_ranch rice_farm,coal_mine fishing_wharf iron_mine lead_mine logging_camp sulfur_mine,gold_field oil_rig rubber_plantation
