tag,country,state,rgo,kind,capacity,state_arable_land
ARG,Argentina,BUENOS_AIRES,logging_camp,capped,9,300
ARG,Argentina,BUENOS_AIRES,wheat_farm,farm,,300
ARG,Argentina,BUENOS_AIRES,vineyard,plantation,,300
ARG,Argentina,CHACO,logging_camp,capped,13,60
ARG,Argentina,CHACO,livestock_ranch,farm,,60
ARG,Argentina,CHACO,maize_farm,farm,,60
ARG,Argentina,CHACO,banana_plantation,plantation,,60
ARG,Argentina,CHACO,cotton_plantation,plantation,,60
ARG,Argentina,CHACO,dye_plantation,plantation,,60
ARG,Argentina,CHACO,tobacco_plantation,plantation,,60
ARG,Argentina,CORRIENTES,logging_camp,capped,15,120
ARG,Argentina,CORRIENTES,oil_rig,discoverable,20,120
ARG,Argentina,CORRIENTES,banana_plantation,plantation,,120
ARG,Argentina,CORRIENTES,dye_plantation,plantation,,120
ARG,Argentina,CORRIENTES,sugar_plantation,plantation,,120
ARG,Argentina,JUJUY,iron_mine,capped,36,50
ARG,Argentina,JUJUY,lead_mine,capped,18,50
ARG,Argentina,JUJUY,logging_camp,capped,8,50
ARG,Argentina,JUJUY,livestock_ranch,farm,,50
ARG,Argentina,JUJUY,maize_farm,farm,,50
ARG,Argentina,JUJUY,coffee_plantation,plantation,,50
ARG,Argentina,JUJUY,dye_plantation,plantation,,50
ARG,Argentina,JUJUY,sugar_plantation,plantation,,50
ARG,Argentina,JUJUY,tobacco_plantation,plantation,,50
ARG,Argentina,LA_PAMPA,logging_camp,capped,13,150
ARG,Argentina,LA_PAMPA,dye_plantation,plantation,,150
ARG,Argentina,LA_PAMPA,sugar_plantation,plantation,,150
ARG,Argentina,LA_PAMPA,vineyard,plantation,,150
ARG,Argentina,RIO_NEGRO,coal_mine,capped,40,120
ARG,Argentina,RIO_NEGRO,sulfur_mine,capped,52,120
ARG,Argentina,RIO_NEGRO,livestock_ranch,farm,,120
ARG,Argentina,RIO_NEGRO,wheat_farm,farm,,120
ARG,Argentina,RIO_NEGRO,dye_plantation,plantation,,120
ARG,Argentina,RIO_NEGRO,sugar_plantation,plantation,,120
ARG,Argentina,RIO_NEGRO,vineyard,plantation,,120
ARG,Argentina,SANTA_FE,fishing_wharf,capped,2,80
ARG,Argentina,SANTA_FE,oil_rig,discoverable,20,80
ARG,Argentina,SANTA_FE,maize_farm,farm,,80
ARG,Argentina,SANTA_FE,dye_plantation,plantation,,80
ARG,Argentina,SANTA_FE,vineyard,plantation,,80
ARG,Argentina,TUCUMAN,iron_mine,capped,39,60
ARG,Argentina,TUCUMAN,lead_mine,capped,15,60
ARG,Argentina,TUCUMAN,logging_camp,capped,6,60
ARG,Argentina,TUCUMAN,livestock_ranch,farm,,60
ARG,Argentina,TUCUMAN,maize_farm,farm,,60
ARG,Argentina,TUCUMAN,banana_plantation,plantation,,60
ARG,Argentina,TUCUMAN,dye_plantation,plantation,,60
ARG,Argentina,TUCUMAN,sugar_plantation,plantation,,60
ARG,Argentina,TUCUMAN,tobacco_plantation,plantation,,60
ARG,Argentina,TUCUMAN,vineyard,plantation,,60
AUS,Austria,AUSTRIA,coal_mine,capped,44,80
AUS,Austria,AUSTRIA,logging_camp,capped,7,80
AUS,Austria,AUSTRIA,vineyard,plantation,,80
AUS,Austria,BOHEMIA,livestock_ranch,farm,,195
AUS,Austria,BOHEMIA,vineyard,plantation,,195
AUS,Austria,BUKOVINA,coal_mine,capped,2,100
